Global Moran's I value is: 718598.1576. It is positive, significantly at 0.01 level.
O, D, V, MoranI, p-value, pattern
18, 9, 498.6753871, 1164.071004241504, 0.0, LL
7, 29, 505.2939934, 506.38966542262386, 0.029, LL
13, 13, 495.1683751, 2119.9422805639115, 0.0, LL
8, 24, 493.1673826, 3237.2102256770777, 0.0, LL
14, 10, 501.6873117, 3133.702458229077, 0.0, LL
30, 29, 489.3857077, 1250.6207208250407, 0.001, LL
20, 15, 495.7526741, 2628.8798214634203, 0.0, LL
18, 8, 510.9089161, 1512.3221361705341, 0.0, LL
17, 14, 496.8266057, 3185.754011723063, 0.0, LL
17, 2, 496.5575277, 1985.4338102411655, 0.0, LL
8, 17, 497.1102826, 1440.1148376206027, 0.0, LL
3, 29, 489.7173312, 1758.4470358534752, 0.0, LL
10, 18, 493.951333, 3208.4994780212933, 0.0, LL
8, 37, 503.7991679, 3125.8908056997093, 0.0, LL
13, 21, 507.7113494, 2224.4754278721325, 0.0, LL
10, 21, 501.8529336, 2344.3287818529952, 0.0, LL
18, 14, 506.9007251, 2057.419361053673, 0.0, LL
28, 20, 493.6421904, 2067.8655656745136, 0.0, LL
17, 18, 506.7685321, 3114.523829993599, 0.0, LL
7, 30, 505.0482497, 1727.447946873748, 0.0, LL
8, 29, 498.5534778, 1138.3311144315533, 0.003, LL
34, 1, 504.118781, 1535.3316364402738, 0.0, LL
34, 13, 499.8224022, 990.0875825205406, 0.0, LL
3, 20, 496.7095934, 3197.2764796057627, 0.0, LL
29, 24, 492.4042097, 2625.325849290379, 0.0, LL
13, 17, 495.025505, 1287.384759300712, 0.0, LL
10, 37, 496.6721585, 3185.433388947741, 0.0, LL
8, 8, 487.6214387, 2535.9419402444382, 0.0, LL
30, 1, 504.3947677, 3131.0052639421037, 0.0, LL
29, 9, 502.9043184, 1421.1375435774198, 0.0, LL
32, 13, 496.8759097, 1343.748981258571, 0.0, LL
34, 20, 499.5898923, 1371.2363030883862, 0.0, LL
8, 1, 498.7617128, 3169.6272882395106, 0.0, LL
14, 2, 498.330729, 1787.422461119319, 0.0, LL
28, 24, 503.4934272, 2040.2857792714703, 0.0, LL
17, 8, 502.8125963, 2239.4182377099473, 0.0, LL
3, 8, 499.2605834, 2354.0638783557324, 0.0, LL
4, 18, 494.1858899, 3212.53343390063, 0.0, LL
30, 15, 506.9141469, 3108.195853518553, 0.0, LL
32, 15, 502.298308, 1960.040453079803, 0.0, LL
4, 24, 502.4423075, 3145.3721362969745, 0.0, LL
20, 1, 502.706761, 2420.314715666032, 0.0, LL
34, 24, 503.4623911, 1345.1090630959125, 0.001, LL
1, 15, 500.5102384, 3158.840150557185, 0.0, LL
3, 2, 492.0403689, 1931.925923606902, 0.0, LL
29, 15, 500.2317486, 2471.362826139706, 0.0, LL
17, 9, 504.306209, 1999.5123271434045, 0.0, LL
1, 1, 504.1475456, 3129.1128101735358, 0.0, LL
34, 18, 505.4443478, 1310.7768410265262, 0.0, LL
20, 37, 500.5384099, 2460.4534422086067, 0.0, LL
18, 21, 494.2154585, 1458.3869731362263, 0.0, LL
3, 13, 507.4788077, 2183.9316483076673, 0.0, LL
28, 1, 509.622233, 1955.868433665413, 0.0, LL
20, 18, 496.8343186, 2509.2862542638504, 0.0, LL
32, 2, 504.7380863, 1008.5113820899644, 0.0, LL
14, 8, 490.3725328, 2555.1291525981956, 0.0, LL
4, 9, 502.1441805, 1966.477967076827, 0.0, LL
14, 9, 495.3301652, 2142.4838003055665, 0.0, LL
18, 2, 500.3402847, 1269.13016628668, 0.0, LL
8, 30, 502.2907679, 3145.414864203907, 0.0, LL
3, 21, 493.7909246, 2257.775261477954, 0.0, LL
28, 14, 500.7732506, 1965.9357740803039, 0.0, LL
34, 21, 511.7099902, 826.9551232780098, 0.009, LL
32, 17, 499.339625, 630.9544767410013, 0.009, LL
4, 30, 497.1817362, 3178.4178191154456, 0.0, LL
18, 24, 500.5272598, 1981.3884977450189, 0.0, LL
32, 8, 506.5768103, 1354.5391121028756, 0.0, LL
4, 13, 499.6950396, 2243.458976099366, 0.0, LL
1, 20, 491.6893274, 3237.674780455674, 0.0, LL
10, 29, 503.6369313, 1419.1155922654539, 0.0, LL
14, 30, 495.5412767, 3178.53897703754, 0.0, LL
20, 8, 507.4745973, 1776.8251611028008, 0.0, LL
4, 29, 491.5256788, 1739.9102262159242, 0.0, LL
10, 2, 495.9437496, 1999.7636892505946, 0.0, LL
34, 30, 509.7865642, 1561.2876309753965, 0.0, LL
4, 21, 501.1355956, 2456.993185291184, 0.0, LL
32, 14, 496.9342449, 2074.0847292420935, 0.0, LL
30, 21, 495.6533941, 2351.155225409663, 0.0, LL
18, 30, 504.6888585, 2420.742868805294, 0.0, LL
1, 21, 500.4492139, 2200.7622210449113, 0.0, LL
3, 17, 508.3830153, 1321.405987188444, 0.0, LL
34, 9, 502.1871909, 786.7088763152216, 0.002, LL
34, 15, 500.0769136, 1356.3076173258416, 0.001, LL
29, 13, 506.6050044, 1292.7049304198665, 0.0, LL
7, 14, 498.6535288, 1534.2394202073826, 0.0, LL
30, 2, 497.2990134, 1995.248167517319, 0.0, LL
10, 15, 496.0454152, 3187.4532507085046, 0.0, LL
20, 30, 486.6404924, 2785.7968325204993, 0.0, LL
8, 14, 490.8562523, 3233.176554529684, 0.0, LL
3, 37, 517.2709242, 3029.6116716564648, 0.0, LL
17, 29, 491.3073555, 1689.031094870759, 0.0, LL
34, 8, 504.7887512, 997.1406943664776, 0.003, LL
14, 13, 496.1991287, 2066.141032914132, 0.0, LL
18, 15, 501.0165807, 2254.939600085266, 0.0, LL
20, 10, 500.9962697, 2547.1803091390557, 0.0, LL
14, 29, 496.6776632, 1410.2109030519846, 0.0, LL
29, 21, 491.5453445, 2008.3184793741466, 0.0, LL
18, 18, 504.0175409, 2065.7263044188317, 0.0, LL
14, 24, 493.9669387, 3208.173579994692, 0.0, LL
7, 37, 506.6833538, 1583.0353811150342, 0.0, LL
13, 8, 509.9404403, 2390.538150282283, 0.0, LL
34, 37, 506.7201657, 1382.9057247126648, 0.0, LL
30, 17, 493.866123, 1526.9426241565025, 0.0, LL
3, 14, 503.7830118, 3137.0682589712105, 0.0, LL
20, 17, 494.5974208, 1283.8745120810931, 0.0, LL
29, 20, 498.3163484, 2614.7174120297796, 0.0, LL
28, 2, 494.2398608, 1210.4715136559018, 0.0, LL
18, 1, 494.7058948, 2147.465410315555, 0.0, LL
14, 21, 499.2171387, 2224.3566350907067, 0.0, LL
28, 8, 502.8304272, 1689.6845332070388, 0.0, LL
8, 13, 499.2848907, 2039.4454039902228, 0.0, LL
10, 30, 500.2356392, 3148.129740041498, 0.0, LL
30, 8, 497.4096151, 2501.547598753732, 0.0, LL
13, 30, 502.7177385, 3132.2356122320766, 0.0, LL
30, 9, 502.6271817, 2061.189728198323, 0.0, LL
34, 2, 504.1738739, 707.7518541381296, 0.003, LL
28, 9, 494.8406737, 1375.4180306529638, 0.0, LL
3, 10, 509.9599975, 3078.1877883748775, 0.0, LL
7, 8, 499.8906585, 1373.9789482507758, 0.001, LL
30, 37, 494.5336682, 3202.557079225119, 0.0, LL
30, 18, 496.7614518, 3193.1292736530177, 0.0, LL
29, 29, 500.0615471, 833.9230366990425, 0.006, LL
34, 10, 499.9030271, 1658.933990579759, 0.0, LL
13, 10, 493.0906869, 3206.885106608728, 0.0, LL
7, 1, 504.1717093, 1448.040681844965, 0.0, LL
8, 10, 495.6800137, 3193.9466425707924, 0.0, LL
1, 29, 506.8429684, 1325.4944739174675, 0.0, LL
4, 20, 501.3635532, 3157.3899594822396, 0.0, LL
7, 24, 502.0931619, 1371.202784571828, 0.001, LL
20, 2, 499.1232532, 1697.9385465742869, 0.0, LL
4, 15, 502.3733742, 3151.729345960424, 0.0, LL
32, 29, 498.1004241, 841.9059194845142, 0.006, LL
3, 24, 501.1403465, 3162.522366486539, 0.0, LL
1, 14, 501.5182548, 3152.2380581170914, 0.0, LL
8, 2, 505.2550071, 1939.7641057881826, 0.0, LL
32, 20, 496.121361, 2110.7830777007393, 0.0, LL
1, 17, 499.8659633, 1337.859057954059, 0.0, LL
30, 14, 500.2648766, 3161.747617170707, 0.0, LL
28, 37, 496.3693771, 2130.65063938206, 0.0, LL
20, 9, 498.1734489, 1442.9610855723536, 0.0, LL
7, 18, 499.5848303, 1428.5218552233234, 0.0, LL
30, 10, 496.101454, 3188.47857427423, 0.0, LL
13, 9, 495.14047, 2124.924091999477, 0.0, LL
20, 24, 505.4864105, 2330.1924017547135, 0.0, LL
18, 10, 504.6714646, 2293.398289324372, 0.0, LL
4, 8, 496.4520072, 2286.4660516535178, 0.0, LL
4, 1, 495.8182441, 3187.667847031905, 0.0, LL
17, 17, 499.6538976, 1340.766579409968, 0.0, LL
1, 13, 500.4768851, 2050.9828809297564, 0.0, LL
1, 2, 499.6066358, 1835.933285224686, 0.0, LL
13, 2, 498.2459314, 1855.7720729657722, 0.0, LL
13, 18, 496.1502091, 3197.5706771909013, 0.0, LL
13, 37, 494.6069268, 3198.9247219273775, 0.0, LL
10, 13, 496.0442723, 2020.8654094015271, 0.0, LL
29, 2, 494.0285693, 1598.3877338259604, 0.0, LL
10, 24, 498.1610462, 3184.344249369062, 0.0, LL
29, 17, 500.9087444, 927.6319977058255, 0.004, LL
29, 30, 501.8768491, 2384.4817925104944, 0.0, LL
3, 1, 495.4525457, 3195.1848229056877, 0.0, LL
17, 30, 501.367814, 3141.9775941410167, 0.0, LL
17, 20, 487.1914431, 3265.1426101227776, 0.0, LL
10, 8, 503.9201727, 2383.786298203472, 0.0, LL
18, 37, 506.6551745, 2043.1263898273955, 0.0, LL
10, 1, 513.0866272, 3060.4168856357337, 0.0, LL
28, 30, 507.6472, 2065.932530362173, 0.0, LL
30, 13, 501.3224167, 1983.9695662127585, 0.0, LL
29, 10, 505.6343187, 2346.5605036351244, 0.0, LL
18, 13, 500.8569909, 1374.5097173285506, 0.0, LL
14, 17, 501.2988941, 1370.210394171764, 0.0, LL
1, 24, 494.1248724, 3222.8226970633045, 0.0, LL
8, 15, 496.638484, 3188.6843564388087, 0.0, LL
14, 1, 497.2077898, 3178.1073267277275, 0.0, LL
34, 17, 495.9817757, 647.2612479802183, 0.012, LL
4, 14, 492.6902274, 3217.6235191284036, 0.0, LL
18, 17, 499.7509256, 1045.865958219973, 0.0, LL
14, 15, 497.7429344, 3176.4177482938394, 0.0, LL
28, 18, 499.1117125, 2135.6506561761994, 0.0, LL
1, 30, 494.9390404, 3195.4287602141567, 0.0, LL
30, 24, 492.366455, 3237.0183729174973, 0.0, LL
30, 30, 504.4995663, 3120.323508213433, 0.0, LL
17, 21, 506.1223702, 2255.583584811834, 0.0, LL
13, 1, 493.2936669, 3210.6857195774496, 0.0, LL
1, 10, 497.4561568, 3177.1058926073556, 0.0, LL
7, 15, 499.168716, 1621.666760075692, 0.0, LL
17, 10, 499.665335, 3155.5016527575126, 0.0, LL
7, 13, 500.1311622, 996.980605505668, 0.0, LL
17, 15, 502.1869488, 3147.2934878965225, 0.0, LL
20, 13, 500.8953649, 1679.703750369126, 0.0, LL
14, 20, 502.2665813, 3146.7762955504004, 0.0, LL
34, 26, 1076.605089, 391.5186320769052, 0.106, NS
30, 33, 1171.023452, 349.28187571376316, 0.125, NS
30, 34, 1163.190491, 593.0909708292795, 0.034, HH
25, 14, 1234.94506, 1034.3455154340884, 0.0, HH
1, 25, 1146.087541, 502.4524746210797, 0.1, NS
2, 4, 797.9665666, -171.3299837170622, 0.43, NS
22, 35, 876.0076479, -59.041439216014936, 0.622, NS
12, 29, 1078.112573, 388.8149419237141, 0.048, HH
30, 5, 887.1731505, -28.600099889437303, 0.765, NS
25, 9, 774.1235597, -244.28613652386528, 0.223, NS
30, 22, 1126.077523, -137.9388899222945, 0.359, NS
29, 33, 1359.041133, 1081.5768312153018, 0.006, HH
3, 33, 925.5576207, 41.9396933444713, 0.73, NS
4, 33, 1049.278831, 360.2278049012486, 0.196, NS
32, 6, 767.0553331, 162.5679020479655, 0.325, NS
36, 8, 934.2228389, -22.362668050128008, 0.792, NS
14, 6, 1165.17425, -764.8238311952763, 0.02, HH
37, 25, 1199.015973, 848.8590034604277, 0.031, HH
4, 32, 1157.702772, 642.6023912276079, 0.035, HH
35, 30, 1077.147147, 394.77795022597496, 0.226, NS
11, 18, 794.2234918, 46.807867438290685, 0.608, NS
18, 12, 1285.733786, -25.782589129227357, 0.758, NS
17, 32, 1071.499816, 319.57757055762886, 0.098, NS
5, 20, 1013.592702, 338.71603256155294, 0.191, NS
16, 9, 1172.683425, 385.86822128720667, 0.103, NS
22, 36, 1176.248076, 546.7353643824941, 0.077, NS
16, 12, 1149.764755, 455.3041797681242, 0.071, NS
9, 33, 822.3561855, -164.2597287596819, 0.324, NS
23, 20, 1102.906806, 399.8702153329722, 0.138, NS
28, 4, 1076.685933, 372.79634888282953, 0.127, NS
22, 7, 1124.624668, 186.2952849827425, 0.259, NS
16, 2, 1182.501069, 243.31763124238861, 0.202, NS
2, 33, 1156.285638, 504.80156470484553, 0.127, NS
12, 8, 986.3183258, 244.5057962731789, 0.224, NS
23, 31, 996.0934382, 108.03887049894023, 0.432, NS
27, 17, 932.024201, 28.534705626989144, 0.714, NS
15, 35, 1086.465317, 412.8915588682283, 0.099, NS
35, 22, 1080.169936, 171.12064653421857, 0.345, NS
3, 32, 1104.553884, 529.00007354837, 0.057, NS
27, 35, 1164.383181, 450.8274266865818, 0.068, NS
9, 17, 859.6591264, -117.28425289695626, 0.372, NS
26, 4, 1100.501257, 298.20162429293094, 0.209, NS
17, 27, 1082.974361, -265.4942427451499, 0.164, NS
4, 28, 584.4212667, -67.6276839162457, 0.613, NS
8, 26, 937.0536969, 57.269314756869925, 0.699, NS
19, 20, 1259.939835, 137.5622684770623, 0.384, NS
2, 2, 725.762395, -319.7843992253785, 0.151, NS
19, 32, 1405.248814, 1089.6996255949475, 0.0, HH
16, 8, 1069.052001, 292.31993611413543, 0.206, NS
19, 8, 1002.530685, 68.42306839294432, 0.546, NS
27, 30, 1064.760401, 25.705677568901702, 0.802, NS
23, 18, 1237.49804, 509.8310956930656, 0.041, HH
34, 28, 1207.057143, 391.1013816936891, 0.069, NS
27, 10, 481.6758641, 48.746685946730985, 0.611, NS
26, 11, 903.3232965, -1.4374127140580366, 0.977, NS
11, 5, 1011.817327, 229.74328730723616, 0.261, NS
13, 35, 1378.860296, 1387.5385238742451, 0.0, HH
9, 21, 1122.824408, 311.7394888150268, 0.149, NS
23, 25, 774.7339878, -94.02194459169095, 0.567, NS
32, 36, 1056.451, 280.74490166942763, 0.219, NS
14, 4, 948.0707723, 82.44294570865786, 0.543, NS
9, 10, 944.6584668, 59.130595891962216, 0.563, NS
28, 26, 781.6817579, -178.58607353593626, 0.292, NS
10, 36, 937.4327343, 52.50446412402421, 0.65, NS
34, 4, 1319.96866, 774.2419809234161, 0.006, HH
14, 25, 804.9945072, -58.308564740997355, 0.649, NS
15, 24, 1250.188262, -308.39858088629137, 0.194, NS
37, 31, 968.9715507, 62.11942876129589, 0.643, NS
23, 14, 882.3077828, -55.73405611997508, 0.633, NS
26, 16, 1511.495654, 1245.895876819524, 0.002, HH
21, 22, 1106.779885, 49.17425270235406, 0.67, NS
9, 7, 1242.84611, 576.7457078895162, 0.022, HH
23, 35, 1094.683449, 114.10379957882566, 0.464, NS
8, 16, 821.6994351, -77.8131386705931, 0.583, NS
1, 34, 1203.995444, 431.6067027473578, 0.106, NS
17, 3, 1106.865985, -357.6271791527438, 0.131, NS
6, 21, 809.7034406, 22.21481325531429, 0.783, NS
19, 4, 1021.039011, 214.34849097457953, 0.249, NS
9, 15, 852.9256148, -112.74021433965447, 0.416, NS
12, 36, 1297.784958, 816.0875433087955, 0.014, HH
19, 11, 955.1516429, 52.921303493524654, 0.569, NS
29, 35, 1131.957011, 674.089371208269, 0.035, HH
21, 1, 840.6672835, 147.5718257922416, 0.359, NS
32, 19, 1051.140303, 291.65799328039606, 0.162, NS
35, 35, 952.9103368, 138.83044256824795, 0.454, NS
23, 8, 1056.421092, 246.48234271196745, 0.282, NS
20, 11, 1214.280689, -178.53791227751594, 0.315, NS
12, 22, 1020.055444, 98.10354663864757, 0.433, NS
9, 22, 906.8931224, -0.7897552411729294, 0.99, NS
15, 19, 1085.108398, 129.24418246555902, 0.391, NS
11, 14, 847.9829771, 72.77155941757871, 0.492, NS
26, 17, 1242.549797, -84.69572467362678, 0.525, NS
20, 35, 976.6659522, 130.92023260943913, 0.446, NS
29, 19, 948.9864335, 100.49080231764368, 0.497, NS
12, 11, 933.8535432, 45.7822031371426, 0.632, NS
15, 31, 1029.564553, 270.2560461152801, 0.118, NS
5, 36, 822.5908708, -95.1332783650795, 0.605, NS
35, 29, 1106.497813, 470.3560299743516, 0.078, NS
4, 22, 865.6555879, 33.200406116882476, 0.769, NS
21, 29, 1075.125273, -32.511701180462765, 0.732, NS
5, 31, 603.0576946, -545.0474084707207, 0.063, NS
32, 34, 1243.11971, 1119.388891718275, 0.002, HH
30, 4, 960.9093225, 68.59316920247957, 0.566, NS
35, 24, 925.0362489, 16.085300822928478, 0.87, NS
34, 16, 696.6500747, -118.50752831510687, 0.385, NS
15, 6, 1139.452617, 243.0174430858972, 0.209, NS
35, 15, 851.6513388, -172.0939672418362, 0.373, NS
12, 27, 1064.465439, 402.8946466872632, 0.05, HH
28, 23, 1062.277975, 375.08260981386417, 0.134, NS
6, 37, 904.7510398, 3.2547006724374503, 0.949, NS
30, 28, 845.0672828, -40.7000186256928, 0.642, NS
12, 19, 894.2677293, -11.0705353795968, 0.885, NS
14, 33, 447.3292476, -385.67104762217946, 0.102, NS
31, 8, 802.5048604, -218.44473296239408, 0.303, NS
37, 17, 1035.30397, 130.29088587686084, 0.432, NS
23, 7, 1165.843355, 167.29609690271425, 0.294, NS
34, 22, 1444.066894, 1.6842908106361436, 0.968, NS
13, 4, 1001.124587, 170.1840294632158, 0.324, NS
10, 4, 997.68142, 172.79394989052443, 0.321, NS
37, 22, 1007.494471, 141.8390219470965, 0.369, NS
12, 9, 1300.135709, 959.3984136871102, 0.002, HH
25, 26, 980.3618232, 81.96212635970434, 0.575, NS
33, 25, 1150.247482, 576.1680677629508, 0.076, NS
31, 5, 1150.709524, 654.8534009862991, 0.064, NS
34, 27, 1298.973862, 265.4050609765001, 0.169, NS
1, 12, 608.8993937, 88.56349258250948, 0.478, NS
3, 7, 1067.988302, 268.29989009493045, 0.185, NS
7, 16, 1288.473102, 402.9648915561566, 0.064, NS
19, 17, 894.8446313, -10.131594677868044, 0.875, NS
13, 36, 1127.220453, 435.6062892837109, 0.112, NS
36, 15, 607.0596702, 520.5107674482738, 0.045, LL
2, 36, 778.4137274, -226.8075503525156, 0.36, NS
5, 11, 1260.793951, 196.43910457595823, 0.291, NS
5, 26, 1022.958387, 176.84574706381642, 0.381, NS
4, 26, 766.5735146, -142.15054130081992, 0.458, NS
1, 6, 930.2858858, -35.53466474312497, 0.746, NS
22, 9, 800.0478334, -199.82519561093474, 0.283, NS
8, 3, 987.7484923, -98.44960821327587, 0.563, NS
28, 32, 826.6948413, -214.0715463093102, 0.19, NS
11, 24, 829.292674, -2.399909386962307, 0.966, NS
36, 17, 718.7864001, 92.02389103414433, 0.429, NS
21, 12, 735.8023907, -75.93391153888474, 0.546, NS
33, 37, 953.9456308, 176.16087861082005, 0.33, NS
32, 22, 932.8545814, 5.599535468657154, 0.914, NS
5, 14, 1261.495109, 980.1795156527022, 0.006, HH
21, 25, 1040.665952, 327.18850759794424, 0.236, NS
12, 21, 1153.511126, 343.4798490118639, 0.115, NS
37, 27, 1152.185937, 591.4173717087824, 0.051, NS
8, 4, 796.0553281, -160.33086412533444, 0.392, NS
33, 17, 992.4051319, 212.95541830990462, 0.267, NS
29, 25, 749.6140073, -109.15058126909938, 0.543, NS
26, 33, 792.5458215, -334.0679572620625, 0.178, NS
16, 16, 1004.933735, 147.92768807389487, 0.363, NS
31, 34, 1159.101988, 317.96012852589206, 0.209, NS
30, 19, 825.4739723, -140.44801748683315, 0.379, NS
9, 19, 972.5387347, 63.25904040152524, 0.558, NS
5, 25, 1133.356619, 567.9748528746876, 0.1, NS
26, 5, 1128.246533, 403.3220904632908, 0.168, NS
17, 7, 1060.250842, 221.57040515281034, 0.215, NS
9, 26, 936.0004269, 52.41922935752548, 0.642, NS
31, 33, 1195.368113, 604.3801799583554, 0.055, NS
10, 31, 1024.286403, 315.467663794067, 0.113, NS
36, 18, 1305.479931, -505.25677430787886, 0.025, HH
8, 5, 960.9368103, 84.39604019666108, 0.601, NS
24, 5, 755.7016729, -285.2076945204793, 0.202, NS
34, 35, 1085.459377, 441.1050081582498, 0.075, NS
25, 31, 825.0555747, -83.37099676810841, 0.507, NS
31, 10, 876.2311175, -58.66427513695444, 0.593, NS
5, 22, 1003.01531, 264.051950407987, 0.237, NS
23, 23, 845.1598566, -106.24754274336803, 0.523, NS
12, 10, 870.1620213, -93.21810679087476, 0.44, NS
33, 1, 1011.748351, 235.00046049607087, 0.213, NS
20, 3, 983.8466531, -176.1351112637382, 0.377, NS
2, 23, 1250.40571, 365.7713107535782, 0.224, NS
9, 34, 732.0771565, -321.63975197823385, 0.136, NS
25, 28, 765.941417, -176.40774317299835, 0.297, NS
25, 17, 1147.234649, 422.7739933536796, 0.085, NS
21, 5, 1297.702802, 553.6802378091309, 0.081, NS
15, 13, 979.4889908, -22.81190416937981, 0.774, NS
31, 17, 964.5276955, 111.27706767099882, 0.445, NS
21, 18, 1422.061465, -1224.725943894152, 0.0, HH
33, 8, 860.1308593, -119.03346160850782, 0.498, NS
3, 6, 1179.878649, -602.6381047364863, 0.049, HH
25, 19, 811.1030303, -246.2885681792633, 0.25, NS
32, 5, 840.6053529, -238.69224857928828, 0.247, NS
27, 13, 1120.477222, 153.7310443263044, 0.286, NS
35, 10, 1296.093818, 1015.9074706430945, 0.004, HH
35, 16, 1256.216556, 678.4541942302379, 0.027, HH
2, 27, 956.2329269, 18.26281118840036, 0.847, NS
27, 4, 592.460227, -316.9676580621188, 0.145, NS
12, 25, 1086.92166, 496.9656603802586, 0.071, NS
32, 32, 1037.307773, 245.8616013578359, 0.166, NS
35, 5, 1365.921756, 1355.9051753508681, 0.01, HH
2, 16, 1316.026406, 682.4472434130207, 0.037, HH
29, 27, 861.8442603, 52.021682049159274, 0.656, NS
7, 22, 1066.577683, 111.03236922817437, 0.41, NS
4, 12, 1007.853021, -27.267138214495, 0.791, NS
26, 10, 1183.698603, -479.38310129324293, 0.059, NS
22, 10, 308.0151238, -311.74268104819583, 0.172, NS
18, 23, 1043.609912, 269.6684059649514, 0.21, NS
2, 26, 850.7825993, -42.993871873477445, 0.737, NS
26, 18, 950.424581, -76.23337757213774, 0.509, NS
14, 32, 1053.234641, 269.24668487598126, 0.121, NS
20, 28, 817.0812624, -68.59914384348305, 0.585, NS
26, 26, 987.0768045, 69.03091809955862, 0.626, NS
16, 4, 1172.715324, 236.2759667105009, 0.264, NS
27, 2, 1406.401825, 600.9894403143193, 0.01, HH
37, 8, 882.7699092, -32.077619300533286, 0.808, NS
22, 11, 745.6842997, -147.40165436195468, 0.352, NS
37, 32, 915.6210051, 8.624079129995623, 0.888, NS
24, 7, 1276.039536, 453.1970622623488, 0.05, HH
36, 12, 1090.920705, 77.91275032035331, 0.473, NS
26, 34, 1080.623513, 430.6250246329977, 0.135, NS
15, 23, 1057.27013, 192.17078443708496, 0.31, NS
9, 4, 838.8662134, -127.84543229184897, 0.423, NS
23, 28, 1022.899351, 103.6825340696704, 0.455, NS
15, 21, 982.4867162, -39.15120162144014, 0.734, NS
9, 36, 732.1972054, -402.69123331059455, 0.122, NS
36, 3, 1421.169808, 160.80461692670985, 0.324, NS
