O, D, V, GetisG, p-value, pattern
29, 9, 502.9043184, -3.922550529750904, 1.0, cold
32, 13, 496.8759097, -4.392886383628919, 1.0, cold
34, 20, 499.5898923, -3.7406977889564637, 1.0, cold
8, 1, 498.7617128, -7.975522991906657, 1.0, cold
14, 2, 498.330729, -5.940129734522689, 1.0, cold
28, 24, 503.4934272, -5.094150095968415, 1.0, cold
17, 8, 502.8125963, -6.330260510881877, 1.0, cold
3, 8, 499.2605834, -5.505149426591289, 1.0, cold
4, 18, 494.1858899, -7.991419390504272, 1.0, cold
30, 15, 506.9141469, -8.983897934256696, 1.0, cold
32, 15, 502.298308, -5.500224043657099, 1.0, cold
4, 24, 502.4423075, -5.930047401497989, 1.0, cold
20, 1, 502.706761, -6.860823059581352, 1.0, cold
34, 24, 503.4623911, -3.2584941089272297, 0.999, cold
1, 15, 500.5102384, -7.5191396154984185, 1.0, cold
3, 2, 492.0403689, -5.270783976746065, 1.0, cold
29, 15, 500.2317486, -5.810365406271608, 1.0, cold
17, 9, 504.306209, -6.776938413905223, 1.0, cold
1, 1, 504.1475456, -8.980523892397356, 1.0, cold
34, 18, 505.4443478, -4.380206391901344, 1.0, cold
20, 37, 500.5384099, -6.938986422894936, 1.0, cold
18, 21, 494.2154585, -3.936383180389017, 1.0, cold
3, 13, 507.4788077, -6.244890985174847, 1.0, cold
28, 1, 509.622233, -6.718507432921901, 1.0, cold
20, 18, 496.8343186, -7.01332145193529, 1.0, cold
32, 2, 504.7380863, -3.312801398772331, 0.999, cold
14, 8, 490.3725328, -7.02737078698017, 1.0, cold
4, 9, 502.1441805, -4.881040182719328, 1.0, cold
14, 9, 495.3301652, -7.109185318350597, 1.0, cold
18, 2, 500.3402847, -4.175450554284983, 1.0, cold
8, 30, 502.2907679, -5.927623976533789, 1.0, cold
3, 21, 493.7909246, -5.189235745772803, 1.0, cold
28, 14, 500.7732506, -6.5977718049189535, 1.0, cold
34, 21, 511.7099902, -2.2329306023985938, 0.989, cold
32, 17, 499.339625, -1.9578962528853812, 0.977, cold
4, 30, 497.1817362, -5.909526747315231, 1.0, cold
18, 24, 500.5272598, -4.898402719610813, 1.0, cold
32, 8, 506.5768103, -3.7653495132087973, 1.0, cold
4, 13, 499.6950396, -5.572669926447432, 1.0, cold
1, 20, 491.6893274, -7.537640890116096, 1.0, cold
10, 29, 503.6369313, -4.737161932558885, 1.0, cold
14, 30, 495.5412767, -7.931643056182982, 1.0, cold
20, 8, 507.4745973, -4.174873389500655, 1.0, cold
4, 29, 491.5256788, -4.160373718784889, 1.0, cold
10, 2, 495.9437496, -6.631122659637016, 1.0, cold
34, 30, 509.7865642, -3.899268540490732, 1.0, cold
4, 21, 501.1355956, -5.125431104980392, 1.0, cold
32, 14, 496.9342449, -6.903626000729053, 1.0, cold
30, 21, 495.6533941, -6.5343057360059875, 1.0, cold
18, 30, 504.6888585, -6.118429310479368, 1.0, cold
1, 21, 500.4492139, -5.1430367321038295, 1.0, cold
3, 17, 508.3830153, -3.685827958321075, 1.0, cold
34, 9, 502.1871909, -2.5170071741513382, 0.994, cold
34, 15, 500.0769136, -3.7021471220488062, 1.0, cold
29, 13, 506.6050044, -3.5819127099185972, 1.0, cold
7, 14, 498.6535288, -5.071361886083336, 1.0, cold
30, 2, 497.2990134, -6.63897070658863, 1.0, cold
10, 15, 496.0454152, -8.962323142220603, 1.0, cold
20, 30, 486.6404924, -5.631974572131631, 1.0, cold
8, 14, 490.8562523, -7.975640959761251, 1.0, cold
3, 37, 517.2709242, -8.995868800713016, 1.0, cold
17, 29, 491.3073555, -5.498740059006146, 1.0, cold
34, 8, 504.7887512, -2.689125374488907, 0.996, cold
14, 13, 496.1991287, -6.86323830788463, 1.0, cold
18, 15, 501.0165807, -6.345477373439925, 1.0, cold
20, 10, 500.9962697, -7.201541776171016, 1.0, cold
14, 29, 496.6776632, -4.618827811926256, 1.0, cold
29, 21, 491.5453445, -4.552679048443433, 1.0, cold
18, 18, 504.0175409, -7.003337072501399, 1.0, cold
14, 24, 493.9669387, -7.975628276331719, 1.0, cold
7, 37, 506.6833538, -5.353552932720793, 1.0, cold
13, 8, 509.9404403, -6.90579910054095, 1.0, cold
34, 37, 506.7201657, -4.649485020004595, 1.0, cold
30, 17, 493.866123, -4.982600507330862, 1.0, cold
3, 14, 503.7830118, -8.995422774203744, 1.0, cold
20, 17, 494.5974208, -3.4370310154917285, 1.0, cold
29, 20, 498.3163484, -6.133748881418078, 1.0, cold
28, 2, 494.2398608, -3.9069377023937872, 1.0, cold
18, 1, 494.7058948, -7.1147864727835985, 1.0, cold
14, 21, 499.2171387, -6.225972734553442, 1.0, cold
28, 8, 502.8304272, -4.712277449889001, 1.0, cold
8, 13, 499.2848907, -5.0334071421286515, 1.0, cold
10, 30, 500.2356392, -7.9502045079996035, 1.0, cold
30, 8, 497.4096151, -7.00141900186198, 1.0, cold
13, 30, 502.7177385, -7.960646855430452, 1.0, cold
30, 9, 502.6271817, -6.961972198236927, 1.0, cold
34, 2, 504.1738739, -2.255345398404647, 0.989, cold
28, 9, 494.8406737, -4.477301944630662, 1.0, cold
3, 10, 509.9599975, -8.96672279313595, 1.0, cold
7, 8, 499.8906585, -3.751860881574817, 1.0, cold
30, 37, 494.5336682, -10.71675382368642, 1.0, cold
30, 18, 496.7614518, -10.744901901057577, 1.0, cold
29, 29, 500.0615471, -2.1746565537860607, 0.982, cold
34, 10, 499.9030271, -5.519943982998125, 1.0, cold
13, 10, 493.0906869, -10.692620188355148, 1.0, cold
7, 1, 504.1717093, -4.845218641338013, 1.0, cold
8, 10, 495.6800137, -7.974421382304541, 1.0, cold
1, 29, 506.8429684, -3.68183735157792, 0.999, cold
4, 20, 501.3635532, -6.690315705270507, 1.0, cold
7, 24, 502.0931619, -3.3141703196587713, 1.0, cold
20, 2, 499.1232532, -4.688830931649511, 1.0, cold
4, 15, 502.3733742, -6.696068862819732, 1.0, cold
32, 29, 498.1004241, -2.677691623060943, 0.997, cold
3, 24, 501.1403465, -6.697696186307585, 1.0, cold
1, 14, 501.5182548, -8.986863172552738, 1.0, cold
8, 2, 505.2550071, -4.852448510459289, 1.0, cold
32, 20, 496.121361, -5.8462752098942605, 1.0, cold
1, 17, 499.8659633, -3.6460462634504607, 1.0, cold
30, 14, 500.2648766, -10.732399801270663, 1.0, cold
28, 37, 496.3693771, -7.0876701960373545, 1.0, cold
20, 9, 498.1734489, -3.9346725024074822, 1.0, cold
7, 18, 499.5848303, -4.718258818833862, 1.0, cold
30, 10, 496.101454, -10.7110011352315, 1.0, cold
13, 9, 495.14047, -7.045621677503353, 1.0, cold
20, 24, 505.4864105, -4.902777357720424, 1.0, cold
18, 10, 504.6714646, -7.812909173623964, 1.0, cold
4, 8, 496.4520072, -4.683384654582356, 1.0, cold
4, 1, 495.8182441, -7.961029490562761, 1.0, cold
17, 17, 499.6538976, -4.415521488647155, 1.0, cold
1, 13, 500.4768851, -5.7394408612766235, 1.0, cold
1, 2, 499.6066358, -5.098024511429148, 1.0, cold
13, 2, 498.2459314, -6.174466491826141, 1.0, cold
13, 18, 496.1502091, -10.743511902939337, 1.0, cold
13, 37, 494.6069268, -10.706320805097098, 1.0, cold
10, 13, 496.0442723, -6.705218357621997, 1.0, cold
29, 2, 494.0285693, -4.337723915342009, 1.0, cold
10, 24, 498.1610462, -8.001306717949843, 1.0, cold
29, 17, 500.9087444, -2.4548354513676065, 0.996, cold
29, 30, 501.8768491, -4.974190983898673, 1.0, cold
3, 1, 495.4525457, -8.971021799716434, 1.0, cold
17, 30, 501.367814, -7.957837553605539, 1.0, cold
17, 20, 487.1914431, -8.982500969289571, 1.0, cold
10, 8, 503.9201727, -6.775189001848188, 1.0, cold
18, 37, 506.6551745, -6.97273312928358, 1.0, cold
10, 1, 513.0866272, -10.732826871674442, 1.0, cold
28, 30, 507.6472, -5.22149421405953, 1.0, cold
30, 13, 501.3224167, -6.669936787379608, 1.0, cold
29, 10, 505.6343187, -6.695944429882798, 1.0, cold
18, 13, 500.8569909, -4.546983765644014, 1.0, cold
14, 17, 501.2988941, -4.537476399999395, 1.0, cold
1, 24, 494.1248724, -6.704222946557776, 1.0, cold
8, 15, 496.638484, -6.674311066515174, 1.0, cold
14, 1, 497.2077898, -10.705410076466828, 1.0, cold
34, 17, 495.9817757, -1.9941856907130115, 0.974, cold
4, 14, 492.6902274, -7.973549675246722, 1.0, cold
18, 17, 499.7509256, -3.3961522320423896, 0.999, cold
14, 15, 497.7429344, -8.96954698270941, 1.0, cold
28, 18, 499.1117125, -7.155522419995886, 1.0, cold
1, 30, 494.9390404, -6.658720089986762, 1.0, cold
30, 24, 492.366455, -8.016699453313006, 1.0, cold
30, 30, 504.4995663, -7.966879657043922, 1.0, cold
17, 21, 506.1223702, -6.434703356411036, 1.0, cold
13, 1, 493.2936669, -10.711026564438242, 1.0, cold
1, 10, 497.4561568, -8.964905979868572, 1.0, cold
7, 15, 499.168716, -4.466897793616493, 1.0, cold
17, 10, 499.665335, -10.69436616665313, 1.0, cold
7, 13, 500.1311622, -3.2304072823321377, 0.999, cold
17, 15, 502.1869488, -8.988014028235469, 1.0, cold
20, 13, 500.8953649, -4.658127120915237, 1.0, cold
14, 20, 502.2665813, -8.988361834728735, 1.0, cold
34, 26, 1076.605089, 2.654303303056793, 0.002, hot
30, 33, 1171.023452, 1.4110424567633426, 0.082, NS
30, 34, 1163.190491, 2.60219169397866, 0.003, hot
25, 14, 1234.94506, 3.556328884055623, 0.0, hot
1, 25, 1146.087541, 1.7050084064003577, 0.041, hot
2, 4, 797.9665666, 1.5085916380561588, 0.062, NS
22, 35, 876.0076479, 1.903052816978717, 0.025, hot
12, 29, 1078.112573, 3.1287836276467362, 0.001, hot
30, 5, 887.1731505, 1.4993570803953256, 0.075, NS
25, 9, 774.1235597, 2.2656412196933653, 0.005, hot
30, 22, 1126.077523, -1.0113693073315864, 0.838, NS
29, 33, 1359.041133, 2.073549867817355, 0.022, hot
3, 33, 925.5576207, 2.3620402633983337, 0.005, hot
4, 33, 1049.278831, 2.1841749865626445, 0.018, hot
32, 6, 767.0553331, -1.2864539944150868, 0.882, NS
36, 8, 934.2228389, -1.0234309920870526, 0.857, NS
14, 6, 1165.17425, -3.707550442070255, 1.0, cold
37, 25, 1199.015973, 2.0923663208738694, 0.017, hot
4, 32, 1157.702772, 2.5627689570058383, 0.006, hot
35, 30, 1077.147147, 1.7344717746711094, 0.037, hot
11, 18, 794.2234918, -0.5201133822677827, 0.69, NS
18, 12, 1285.733786, -0.3030446888600347, 0.634, NS
17, 32, 1071.499816, 2.6655892443961684, 0.007, hot
5, 20, 1013.592702, 2.8080899160505757, 0.002, hot
16, 9, 1172.683425, 1.5646559677852745, 0.057, NS
22, 36, 1176.248076, 1.6139602415416687, 0.048, hot
16, 12, 1149.764755, 2.0858097476033555, 0.016, hot
9, 33, 822.3561855, 2.3483650953199633, 0.01, hot
23, 20, 1102.906806, 1.918825070331427, 0.03, hot
28, 4, 1076.685933, 2.52084379959894, 0.005, hot
22, 7, 1124.624668, 0.8835983356824244, 0.184, NS
16, 2, 1182.501069, 0.8778950203919091, 0.176, NS
2, 33, 1156.285638, 1.6264349172277692, 0.059, NS
12, 8, 986.3183258, 3.657829421471598, 0.0, hot
23, 31, 996.0934382, 1.4003074689763386, 0.081, NS
27, 17, 932.024201, 1.6453466119798918, 0.049, hot
15, 35, 1086.465317, 2.6380083682957154, 0.008, hot
35, 22, 1080.169936, 0.9343552056134994, 0.181, NS
3, 32, 1104.553884, 3.0764082478327754, 0.002, hot
27, 35, 1164.383181, 1.9278509991544062, 0.022, hot
9, 17, 859.6591264, 3.470623631583212, 0.001, hot
26, 4, 1100.501257, 1.4140101367878415, 0.06, NS
17, 27, 1082.974361, -2.2348647314215384, 0.987, cold
4, 28, 584.4212667, 0.45716524971273514, 0.307, NS
8, 26, 937.0536969, 1.7446094078479812, 0.044, hot
19, 20, 1259.939835, 0.23785919187817106, 0.422, NS
2, 2, 725.762395, 2.007169439297718, 0.029, hot
19, 32, 1405.248814, 2.820267622625878, 0.002, hot
16, 8, 1069.052001, 1.7057816825182257, 0.036, hot
19, 8, 1002.530685, 0.7990565730987315, 0.221, NS
27, 30, 1064.760401, 0.061100491266093036, 0.488, NS
23, 18, 1237.49804, 1.6296296416659926, 0.06, NS
34, 28, 1207.057143, 1.6810549763643245, 0.045, hot
27, 10, 481.6758641, 0.07149572752611733, 0.48, NS
26, 11, 903.3232965, 0.3912158664799024, 0.343, NS
11, 5, 1011.817327, 2.2804616424238233, 0.012, hot
13, 35, 1378.860296, 3.205898457117118, 0.001, hot
9, 21, 1122.824408, 1.5884941140433653, 0.058, NS
23, 25, 774.7339878, 0.7548870160946506, 0.232, NS
32, 36, 1056.451, 1.907148820398863, 0.032, hot
14, 4, 948.0707723, 2.4101498153784484, 0.005, hot
9, 10, 944.6584668, 2.2408022492919395, 0.012, hot
28, 26, 781.6817579, 1.77017377817517, 0.04, hot
10, 36, 937.4327343, 1.8653687928856952, 0.029, hot
34, 4, 1319.96866, 1.9721724791939967, 0.015, hot
14, 25, 804.9945072, 0.6800367817819326, 0.247, NS
15, 24, 1250.188262, -1.208896738379008, 0.898, NS
37, 31, 968.9715507, 1.0383313531418166, 0.149, NS
23, 14, 882.3077828, 2.629070968530634, 0.004, hot
26, 16, 1511.495654, 2.069341549032213, 0.014, hot
21, 22, 1106.779885, 0.16579774358431673, 0.453, NS
9, 7, 1242.84611, 2.2466033885647008, 0.021, hot
23, 35, 1094.683449, 0.47288742236227566, 0.33, NS
8, 16, 821.6994351, 1.027505324352549, 0.146, NS
1, 34, 1203.995444, 1.243701480262318, 0.126, NS
17, 3, 1106.865985, -2.2693834223927376, 0.979, cold
6, 21, 809.7034406, -0.20673232555463947, 0.597, NS
19, 4, 1021.039011, 2.1816686590181082, 0.012, hot
9, 15, 852.9256148, 2.487202005893546, 0.005, hot
12, 36, 1297.784958, 1.9507600540007468, 0.02, hot
19, 11, 955.1516429, 1.5498262569274688, 0.061, NS
29, 35, 1131.957011, 2.863265142425348, 0.001, hot
21, 1, 840.6672835, -2.5793264531607263, 0.995, cold
32, 19, 1051.140303, 2.331468501079379, 0.011, hot
35, 35, 952.9103368, 2.745579772155339, 0.005, hot
23, 8, 1056.421092, 1.559638031759237, 0.049, hot
20, 11, 1214.280689, -0.8923758085048923, 0.828, NS
12, 22, 1020.055444, 1.1717195930559392, 0.116, NS
9, 22, 906.8931224, 1.3250452565789186, 0.087, NS
15, 19, 1085.108398, 0.7538521761323073, 0.199, NS
11, 14, 847.9829771, -1.6868143327018175, 0.955, cold
26, 17, 1242.549797, -0.5179583562594785, 0.688, NS
20, 35, 976.6659522, 1.8646469508236858, 0.036, hot
29, 19, 948.9864335, 2.427764895883175, 0.006, hot
12, 11, 933.8535432, 2.460500213298433, 0.008, hot
15, 31, 1029.564553, 3.0653082691345244, 0.001, hot
5, 36, 822.5908708, 0.9924286177421876, 0.17, NS
35, 29, 1106.497813, 2.381753724576234, 0.006, hot
4, 22, 865.6555879, -0.8116118379766165, 0.79, NS
21, 29, 1075.125273, -0.33971676355657715, 0.657, NS
5, 31, 603.0576946, 2.129687480002642, 0.026, hot
32, 34, 1243.11971, 3.761447181540243, 0.001, hot
30, 4, 960.9093225, 1.5031900506989055, 0.075, NS
35, 24, 925.0362489, 0.7406040212918008, 0.224, NS
34, 16, 696.6500747, 0.9080994156658063, 0.173, NS
15, 6, 1139.452617, 1.1002733667217344, 0.158, NS
35, 15, 851.6513388, 2.8284768096879938, 0.002, hot
12, 27, 1064.465439, 3.543630035927181, 0.0, hot
28, 23, 1062.277975, 2.47845040758454, 0.007, hot
6, 37, 904.7510398, -1.5383725234317978, 0.932, NS
30, 28, 845.0672828, 0.9512193522130801, 0.171, NS
12, 19, 894.2677293, 0.9885275444252034, 0.167, NS
14, 33, 447.3292476, 1.2960915841551353, 0.096, NS
31, 8, 802.5048604, 2.1764291656544876, 0.007, hot
37, 17, 1035.30397, 0.9977232307724394, 0.135, NS
23, 7, 1165.843355, 0.605717363270112, 0.271, NS
34, 22, 1444.066894, -0.2889101190722818, 0.613, NS
13, 4, 1001.124587, 2.111704825044866, 0.016, hot
10, 4, 997.68142, 2.2316639378685523, 0.014, hot
37, 22, 1007.494471, 1.4452497449017259, 0.067, NS
12, 9, 1300.135709, 3.2372960563917546, 0.0, hot
25, 26, 980.3618232, 1.0836741340760516, 0.13, NS
33, 25, 1150.247482, 1.9440775826773855, 0.023, hot
31, 5, 1150.709524, 2.233004601658175, 0.015, hot
34, 27, 1298.973862, 0.7437777486088983, 0.241, NS
1, 12, 608.8993937, -0.16006399360653562, 0.566, NS
3, 7, 1067.988302, 1.8919810289327375, 0.03, hot
7, 16, 1288.473102, 1.2860375835040332, 0.123, NS
19, 17, 894.8446313, 1.1167531203609808, 0.131, NS
13, 36, 1127.220453, 1.959338802851194, 0.026, hot
36, 15, 607.0596702, -1.869046482926928, 0.958, cold
2, 36, 778.4137274, 1.5536081037297158, 0.069, NS
5, 11, 1260.793951, 0.33836110549462983, 0.367, NS
5, 26, 1022.958387, 1.2915298841186997, 0.086, NS
4, 26, 766.5735146, 1.0337931112662042, 0.138, NS
1, 6, 930.2858858, -1.608130182486577, 0.953, cold
22, 9, 800.0478334, 2.281393973209381, 0.006, hot
8, 3, 987.7484923, -1.1836251336397563, 0.888, NS
28, 32, 826.6948413, 3.773822875501026, 0.0, hot
11, 24, 829.292674, 0.08940757352749751, 0.465, NS
36, 17, 718.7864001, -0.584275487757086, 0.717, NS
21, 12, 735.8023907, 0.6375665495964997, 0.253, NS
33, 37, 953.9456308, 4.51395578513049, 0.0, hot
32, 22, 932.8545814, 0.300984594538851, 0.378, NS
5, 14, 1261.495109, 2.7011283727738005, 0.002, hot
21, 25, 1040.665952, 2.115790771057672, 0.02, hot
12, 21, 1153.511126, 1.5068938891977284, 0.045, hot
37, 27, 1152.185937, 2.405210043362892, 0.008, hot
8, 4, 796.0553281, 1.3967977153097517, 0.087, NS
33, 17, 992.4051319, 2.9431377623142243, 0.0, hot
29, 25, 749.6140073, 0.7614223267984768, 0.249, NS
26, 33, 792.5458215, 3.0162519179836047, 0.003, hot
16, 16, 1004.933735, 1.7511924412201865, 0.037, hot
31, 34, 1159.101988, 1.084351731152995, 0.146, NS
30, 19, 825.4739723, 2.0882372767346147, 0.016, hot
9, 19, 972.5387347, 1.1216364511799086, 0.117, NS
5, 25, 1133.356619, 1.8325552655627002, 0.039, hot
26, 5, 1128.246533, 1.4675684884060813, 0.065, NS
17, 7, 1060.250842, 1.9676870125116812, 0.023, hot
9, 26, 936.0004269, 2.19221973317472, 0.013, hot
31, 33, 1195.368113, 1.900857533415415, 0.033, hot
10, 31, 1024.286403, 3.7577040008261715, 0.0, hot
36, 18, 1305.479931, -2.011033421961315, 0.978, cold
8, 5, 960.9368103, 1.2407777752535658, 0.105, NS
24, 5, 755.7016729, 2.1121195106813544, 0.028, hot
34, 35, 1085.459377, 2.8434627986049064, 0.007, hot
25, 31, 825.0555747, 1.2553615745108844, 0.117, NS
31, 10, 876.2311175, 2.2399212570437954, 0.009, hot
5, 22, 1003.01531, 2.8887537538043664, 0.001, hot
23, 23, 845.1598566, 1.5922180822564953, 0.054, NS
12, 10, 870.1620213, 3.523363339213069, 0.0, hot
33, 1, 1011.748351, 2.625748727917581, 0.001, hot
20, 3, 983.8466531, -2.3946777462092985, 0.992, cold
2, 23, 1250.40571, 0.5383307009875293, 0.3, NS
9, 34, 732.0771565, 2.2960708149601183, 0.014, hot
25, 28, 765.941417, 1.5745784267672784, 0.063, NS
25, 17, 1147.234649, 1.9492367435791218, 0.022, hot
21, 5, 1297.702802, 0.951071074594484, 0.161, NS
15, 13, 979.4889908, -0.48810069850613336, 0.66, NS
31, 17, 964.5276955, 2.2987209593587274, 0.008, hot
21, 18, 1422.061465, -3.1707662659228553, 1.0, cold
33, 8, 860.1308593, 2.5609348738333395, 0.005, hot
3, 6, 1179.878649, -2.444239572745011, 0.994, cold
25, 19, 811.1030303, 2.647219835505778, 0.001, hot
32, 5, 840.6053529, 3.843394465030535, 0.0, hot
27, 13, 1120.477222, 0.9038738924825952, 0.197, NS
35, 10, 1296.093818, 2.5108341436754356, 0.007, hot
35, 16, 1256.216556, 1.8256819068298682, 0.032, hot
2, 27, 956.2329269, 0.3668035181164008, 0.348, NS
27, 4, 592.460227, 1.4021522368988377, 0.072, NS
12, 25, 1086.92166, 2.830325012255047, 0.001, hot
32, 32, 1037.307773, 2.608101501667036, 0.003, hot
35, 5, 1365.921756, 1.9677703481985016, 0.019, hot
2, 16, 1316.026406, 1.4884694153580968, 0.068, NS
29, 27, 861.8442603, -1.3215206476228307, 0.903, NS
7, 22, 1066.577683, 0.9000224930550443, 0.182, NS
4, 12, 1007.853021, -0.36310446096608096, 0.64, NS
26, 10, 1183.698603, -2.248948097326077, 0.992, cold
22, 10, 308.0151238, 1.0072773156817083, 0.18, NS
18, 23, 1043.609912, 2.019844787779221, 0.018, hot
2, 26, 850.7825993, 0.73296438814714, 0.224, NS
26, 18, 950.424581, -2.156116020860292, 0.988, cold
14, 32, 1053.234641, 2.5330591709253096, 0.006, hot
20, 28, 817.0812624, 0.960565845506513, 0.177, NS
26, 26, 987.0768045, 0.8175576203491739, 0.204, NS
16, 4, 1172.715324, 0.6970905105471474, 0.231, NS
27, 2, 1406.401825, 1.4288180618504296, 0.069, NS
37, 8, 882.7699092, 1.1856590846204142, 0.1, NS
22, 11, 745.6842997, 1.1889514090258868, 0.114, NS
37, 32, 915.6210051, 1.1614209164209754, 0.107, NS
24, 7, 1276.039536, 1.5358433429662002, 0.086, NS
36, 12, 1090.920705, 0.5003006498015233, 0.301, NS
26, 34, 1080.623513, 2.382095745162859, 0.008, hot
15, 23, 1057.27013, 1.2633546219870484, 0.092, NS
9, 4, 838.8662134, 2.2571998223014225, 0.014, hot
23, 28, 1022.899351, 0.9986573610839993, 0.167, NS
15, 21, 982.4867162, -0.6726021959435958, 0.746, NS
9, 36, 732.1972054, 2.575331018300769, 0.004, hot
36, 3, 1421.169808, 0.04139861928691058, 0.485, NS
