O, D, V, GearyC, p-value, pattern
10, 18, 493.951333, 2336.0395732591396, 1.0, similar
8, 37, 503.7991679, 874.2287882879373, 1.0, similar
13, 21, 507.7113494, 2564084.496817209, 0.807, NS
10, 21, 501.8529336, 2063462.524514821, 0.942, NS
18, 14, 506.9007251, 3964778.4454066735, 0.736, NS
28, 20, 493.6421904, 3238703.175723528, 0.617, NS
17, 18, 506.7685321, 4366.2354359958435, 1.0, similar
7, 30, 505.0482497, 2646719.968538864, 0.601, NS
8, 29, 498.5534778, 4774859.2979457555, 0.296, NS
34, 1, 504.118781, 5382771.79687957, 0.525, NS
34, 13, 499.8224022, 7439919.632138565, 0.339, NS
3, 20, 496.7095934, 553.4704003325279, 1.0, similar
29, 24, 492.4042097, 730153.3764874463, 0.996, similar
13, 17, 495.025505, 7740374.386298438, 0.332, NS
10, 37, 496.6721585, 1692.6632899555323, 1.0, similar
8, 8, 487.6214387, 1016426.644951103, 0.959, similar
30, 1, 504.3947677, 2526.7337135245275, 1.0, similar
29, 9, 502.9043184, 4501444.918919987, 0.41, NS
32, 13, 496.8759097, 6359987.276714701, 0.421, NS
34, 20, 499.5898923, 4818854.092736606, 0.38, NS
8, 1, 498.7617128, 372.48455403002305, 1.0, similar
14, 2, 498.330729, 5883758.012478859, 0.453, NS
28, 24, 503.4934272, 2571076.7215940417, 0.615, NS
17, 8, 502.8125963, 2496705.1382031897, 0.839, NS
3, 8, 499.2605834, 1483675.3521250875, 0.921, NS
4, 18, 494.1858899, 1181.2372944747635, 1.0, similar
30, 15, 506.9141469, 2700.1542511678495, 1.0, similar
32, 15, 502.298308, 3118408.111030654, 0.636, NS
4, 24, 502.4423075, 681.3680710709784, 1.0, similar
20, 1, 502.706761, 1840562.2916726177, 0.985, similar
34, 24, 503.4623911, 3821327.0202141413, 0.41, NS
1, 15, 500.5102384, 593.9904936312291, 1.0, similar
3, 2, 492.0403689, 3835346.455298706, 0.509, NS
29, 15, 500.2317486, 1173291.5103714513, 0.977, similar
17, 9, 504.306209, 3986290.59062854, 0.733, NS
1, 1, 504.1475456, 1761.4301210150709, 1.0, similar
34, 18, 505.4443478, 6741458.102125265, 0.404, NS
20, 37, 500.5384099, 1502373.8845133814, 0.996, similar
18, 21, 494.2154585, 5114116.686108434, 0.386, NS
3, 13, 507.4788077, 2056848.462052225, 0.947, NS
28, 1, 509.622233, 4416279.754998226, 0.617, NS
20, 18, 496.8343186, 1784399.145315676, 0.987, similar
32, 2, 504.7380863, 8215386.163172469, 0.304, NS
14, 8, 490.3725328, 1510091.8774122456, 0.994, similar
4, 9, 502.1441805, 2528071.22938416, 0.67, NS
14, 9, 495.3301652, 3527728.042228996, 0.855, NS
18, 2, 500.3402847, 7805575.008189268, 0.322, NS
8, 30, 502.2907679, 507.2902210778316, 1.0, similar
3, 21, 493.7909246, 2135667.84163164, 0.648, NS
28, 14, 500.7732506, 4783005.465385468, 0.555, NS
34, 21, 511.7099902, 5995732.522346985, 0.28, NS
32, 17, 499.339625, 9887055.578991221, 0.233, NS
4, 30, 497.1817362, 569.1398827364607, 1.0, similar
18, 24, 500.5272598, 2772828.3941143714, 0.565, NS
32, 8, 506.5768103, 5307975.664267179, 0.352, NS
4, 13, 499.6950396, 1697507.7393543306, 0.918, NS
1, 20, 491.6893274, 1296.0914466418956, 1.0, similar
10, 29, 503.6369313, 6130052.678267735, 0.429, NS
14, 30, 495.5412767, 1642.4448542549894, 1.0, similar
20, 8, 507.4745973, 2297038.2794968886, 0.61, NS
4, 29, 491.5256788, 2872553.83694195, 0.562, NS
10, 2, 495.9437496, 4270001.013778079, 0.647, NS
34, 30, 509.7865642, 3069115.044363121, 0.468, NS
4, 21, 501.1355956, 849119.9605814967, 0.982, similar
32, 14, 496.9342449, 4121671.015912594, 0.687, NS
30, 21, 495.6533941, 2434279.6693141884, 0.839, NS
18, 30, 504.6888585, 1020899.9634257634, 0.999, similar
1, 21, 500.4492139, 2138251.759519149, 0.641, NS
3, 17, 508.3830153, 5129364.195670542, 0.37, NS
34, 9, 502.1871909, 9300202.500754366, 0.266, NS
34, 15, 500.0769136, 4963716.273135077, 0.382, NS
29, 13, 506.6050044, 5042460.829915407, 0.378, NS
7, 14, 498.6535288, 6181342.19661886, 0.414, NS
30, 2, 497.2990134, 4489325.500910863, 0.598, NS
10, 15, 496.0454152, 1065.8059044665492, 1.0, similar
20, 30, 486.6404924, 418350.23638845386, 1.0, similar
8, 14, 490.8562523, 2323.6673495629598, 1.0, similar
3, 37, 517.2709242, 12903.537127686326, 1.0, similar
17, 29, 491.3073555, 5274728.361199213, 0.501, NS
34, 8, 504.7887512, 6010033.363317262, 0.29, NS
14, 13, 496.1991287, 3938167.8540693144, 0.75, NS
18, 15, 501.0165807, 2090605.275987548, 0.939, NS
20, 10, 500.9962697, 1179843.7550798394, 0.999, similar
14, 29, 496.6776632, 6555969.239736497, 0.424, NS
29, 21, 491.5453445, 2093600.9132013563, 0.677, NS
18, 18, 504.0175409, 3908050.2102887495, 0.751, NS
14, 24, 493.9669387, 1624.1374908943708, 1.0, similar
7, 37, 506.6833538, 5267755.066533889, 0.497, NS
13, 8, 509.9404403, 1640444.8250572863, 0.994, similar
34, 37, 506.7201657, 7032687.013497131, 0.374, NS
30, 17, 493.866123, 5994408.402560311, 0.424, NS
3, 14, 503.7830118, 2027.1922034651614, 1.0, similar
20, 17, 494.5974208, 4928653.342308274, 0.368, NS
29, 20, 498.3163484, 778860.7728532921, 1.0, similar
28, 2, 494.2398608, 7633181.352573231, 0.326, NS
18, 1, 494.7058948, 3766587.399244182, 0.786, NS
14, 21, 499.2171387, 2771810.3945095795, 0.752, NS
28, 8, 502.8304272, 3364255.5935279154, 0.583, NS
8, 13, 499.2848907, 2330063.7002409254, 0.679, NS
10, 30, 500.2356392, 604.5809554952074, 1.0, similar
30, 8, 497.4096151, 1587584.1600037524, 0.995, similar
13, 30, 502.7177385, 708.1451246390052, 1.0, similar
30, 9, 502.6271817, 3844019.88053605, 0.756, NS
34, 2, 504.1738739, 9323211.2337166, 0.3, NS
28, 9, 494.8406737, 6529783.544004246, 0.387, NS
3, 10, 509.9599975, 4351.8368915822575, 1.0, similar
7, 8, 499.8906585, 4421624.362159675, 0.406, NS
30, 37, 494.5336682, 2379.344900518842, 1.0, similar
30, 18, 496.7614518, 1270.8797080543586, 1.0, similar
29, 29, 500.0615471, 6562086.610177492, 0.278, NS
34, 10, 499.9030271, 5547360.769055392, 0.455, NS
13, 10, 493.0906869, 3723.9840281030406, 1.0, similar
7, 1, 504.1717093, 6343719.6646285895, 0.426, NS
8, 10, 495.6800137, 891.8911421355887, 1.0, similar
1, 29, 506.8429684, 4920952.059294734, 0.425, NS
4, 20, 501.3635532, 641.5049797349072, 1.0, similar
7, 24, 502.0931619, 4143330.114937499, 0.367, NS
20, 2, 499.1232532, 4026995.856865015, 0.441, NS
4, 15, 502.3733742, 953.9202594513752, 1.0, similar
32, 29, 498.1004241, 8588917.218772087, 0.267, NS
3, 24, 501.1403465, 768.9328881921513, 1.0, similar
1, 14, 501.5182548, 1208.7026494453535, 1.0, similar
8, 2, 505.2550071, 2604061.6008040616, 0.603, NS
32, 20, 496.121361, 2605338.5469734594, 0.798, NS
1, 17, 499.8659633, 5180256.558151639, 0.354, NS
30, 14, 500.2648766, 1088.6142232674079, 1.0, similar
28, 37, 496.3693771, 3660257.6333596874, 0.798, NS
20, 9, 498.1734489, 4386929.949000392, 0.446, NS
7, 18, 499.5848303, 6711163.269733183, 0.383, NS
30, 10, 496.101454, 1570.3388861444973, 1.0, similar
13, 9, 495.14047, 3784950.0535254497, 0.791, NS
20, 24, 505.4864105, 1398703.3891695254, 0.801, NS
18, 10, 504.6714646, 2365091.0268351836, 0.998, similar
4, 8, 496.4520072, 1475550.5558683644, 0.774, NS
4, 1, 495.8182441, 1303.3489200952695, 1.0, similar
17, 17, 499.6538976, 7423360.199492534, 0.363, NS
1, 13, 500.4768851, 2807714.000241632, 0.736, NS
1, 2, 499.6066358, 3951505.924922047, 0.497, NS
13, 2, 498.2459314, 5391690.227580909, 0.489, NS
13, 18, 496.1502091, 1428.3138542323827, 1.0, similar
13, 37, 494.6069268, 2903.965471516346, 1.0, similar
10, 13, 496.0442723, 4221594.421393603, 0.67, NS
29, 2, 494.0285693, 4135471.892902603, 0.465, NS
10, 24, 498.1610462, 353.49049006045993, 1.0, similar
29, 17, 500.9087444, 6059575.768541346, 0.316, NS
29, 30, 501.8768491, 1082829.7396452525, 0.942, NS
3, 1, 495.4525457, 1473.7015426992443, 1.0, similar
17, 30, 501.367814, 911.7000293934341, 1.0, similar
17, 20, 487.1914431, 5362.547535336245, 1.0, similar
10, 8, 503.9201727, 1902646.5407253883, 0.976, similar
18, 37, 506.6551745, 3687641.602425701, 0.8, NS
10, 1, 513.0866272, 10440.010861070365, 1.0, similar
28, 30, 507.6472, 1952796.562314319, 0.823, NS
30, 13, 501.3224167, 4385553.582618922, 0.643, NS
29, 10, 505.6343187, 2069745.4653342306, 0.948, NS
18, 13, 500.8569909, 6191624.175896481, 0.442, NS
14, 17, 501.2988941, 6848860.4295532135, 0.361, NS
1, 24, 494.1248724, 483.41260162565993, 1.0, similar
8, 15, 496.638484, 458.4313546528054, 1.0, similar
14, 1, 497.2077898, 1331.0629991816913, 1.0, similar
34, 17, 495.9817757, 9088194.1085579, 0.292, NS
4, 14, 492.6902274, 2148.851708413131, 1.0, similar
18, 17, 499.7509256, 7699437.676708658, 0.35, NS
14, 15, 497.7429344, 880.5491951014993, 1.0, similar
28, 18, 499.1117125, 3797359.858262715, 0.792, NS
1, 30, 494.9390404, 1071.2170247678312, 1.0, similar
30, 24, 492.366455, 1065.055868317371, 1.0, similar
30, 30, 504.4995663, 1164.418921736131, 1.0, similar
17, 21, 506.1223702, 2466205.915466071, 0.851, NS
13, 1, 493.2936669, 3222.134615152298, 1.0, similar
1, 10, 497.4561568, 1329.4644804544748, 1.0, similar
7, 15, 499.168716, 3733689.7810587767, 0.501, NS
17, 10, 499.665335, 1604.551008772492, 1.0, similar
7, 13, 500.1311622, 7466371.708439073, 0.332, NS
17, 15, 502.1869488, 1297.562126680792, 1.0, similar
20, 13, 500.8953649, 3483755.3055091463, 0.536, NS
14, 20, 502.2665813, 1154.5941456307457, 1.0, similar
34, 26, 1076.605089, 1204354.1284178218, 1.0, similar
30, 33, 1171.023452, 2702901.7631168757, 0.802, NS
30, 34, 1163.190491, 1781861.577608556, 0.985, similar
25, 14, 1234.94506, 2283797.143493661, 0.899, NS
1, 25, 1146.087541, 979125.0511070167, 0.96, similar
2, 4, 797.9665666, 1813151.1190656892, 0.597, NS
22, 35, 876.0076479, 1174439.2142868116, 0.984, similar
12, 29, 1078.112573, 2689577.9714319897, 0.976, similar
30, 5, 887.1731505, 1138970.263532204, 0.996, similar
25, 9, 774.1235597, 3573743.1462118803, 0.557, NS
30, 22, 1126.077523, 6845904.129271131, 0.385, NS
29, 33, 1359.041133, 3751758.065084421, 0.368, NS
3, 33, 925.5576207, 1479241.0731529589, 0.927, NS
4, 33, 1049.278831, 761549.2658918155, 0.988, similar
32, 6, 767.0553331, 3248603.3963121967, 0.63, NS
36, 8, 934.2228389, 3434283.5844394118, 0.51, NS
14, 6, 1165.17425, 8149745.223775278, 0.14, NS
37, 25, 1199.015973, 759136.1223365363, 0.956, similar
4, 32, 1157.702772, 1481842.2288078428, 0.97, similar
35, 30, 1077.147147, 753130.6005508507, 0.946, NS
11, 18, 794.2234918, 4897452.272868697, 0.565, NS
18, 12, 1285.733786, 10331701.757762361, 0.245, NS
17, 32, 1071.499816, 2868037.78808242, 0.98, similar
5, 20, 1013.592702, 1237750.3226173704, 0.874, NS
16, 9, 1172.683425, 3278567.3235392757, 0.568, NS
22, 36, 1176.248076, 1218700.3856146599, 0.865, NS
16, 12, 1149.764755, 1899395.0259961039, 0.97, similar
9, 33, 822.3561855, 2386451.0455852523, 0.845, NS
23, 20, 1102.906806, 1521271.0286422654, 0.912, NS
28, 4, 1076.685933, 915311.3737527383, 1.0, similar
22, 7, 1124.624668, 2342991.6982066217, 0.89, NS
16, 2, 1182.501069, 2958164.487588799, 0.691, NS
2, 33, 1156.285638, 1054011.2699928524, 0.957, similar
12, 8, 986.3183258, 2377502.4728944404, 0.871, NS
23, 31, 996.0934382, 1287815.836975343, 1.0, similar
27, 17, 932.024201, 2916667.2278073844, 0.961, similar
15, 35, 1086.465317, 1728302.400535338, 0.984, similar
35, 22, 1080.169936, 1274194.4475641006, 0.989, similar
3, 32, 1104.553884, 1721204.5535263119, 0.992, similar
27, 35, 1164.383181, 2148986.452644137, 0.93, NS
9, 17, 859.6591264, 3733724.2604333484, 0.795, NS
26, 4, 1100.501257, 944751.1396149683, 0.994, similar
17, 27, 1082.974361, 6824069.258142927, 0.391, NS
4, 28, 584.4212667, 5119626.79482142, 0.261, NS
8, 26, 937.0536969, 786213.8986628365, 0.987, similar
19, 20, 1259.939835, 5830434.687360149, 0.309, NS
2, 2, 725.762395, 3351394.081838397, 0.455, NS
19, 32, 1405.248814, 8692750.124411285, 0.289, NS
16, 8, 1069.052001, 1868372.9638476912, 0.788, NS
19, 8, 1002.530685, 3084408.8574302346, 0.623, NS
27, 30, 1064.760401, 2461232.960679856, 0.65, NS
23, 18, 1237.49804, 4019520.661258371, 0.48, NS
34, 28, 1207.057143, 5080390.637585104, 0.539, NS
27, 10, 481.6758641, 11714547.09195693, 0.119, NS
26, 11, 903.3232965, 2019912.7660682902, 0.947, NS
11, 5, 1011.817327, 991137.5866256459, 0.997, similar
13, 35, 1378.860296, 5100236.846866872, 0.345, NS
9, 21, 1122.824408, 1920464.5188496846, 0.974, similar
23, 25, 774.7339878, 1296987.0188722645, 0.855, NS
32, 36, 1056.451, 1554679.7745742786, 0.938, NS
14, 4, 948.0707723, 1847220.3290274204, 0.975, similar
9, 10, 944.6584668, 3045159.3683389737, 0.952, similar
28, 26, 781.6817579, 2332827.9071252295, 0.901, NS
10, 36, 937.4327343, 1891703.4461246678, 0.869, NS
34, 4, 1319.96866, 4730171.034785639, 0.396, NS
14, 25, 804.9945072, 1412687.6455283808, 0.975, similar
15, 24, 1250.188262, 6232763.013976804, 0.164, NS
37, 31, 968.9715507, 839997.9609751265, 1.0, similar
23, 14, 882.3077828, 2574841.277299707, 0.804, NS
26, 16, 1511.495654, 10669728.347175498, 0.027, dissimilar
21, 22, 1106.779885, 3230500.413577699, 0.651, NS
9, 7, 1242.84611, 5130413.134973787, 0.523, NS
23, 35, 1094.683449, 1398627.5420430156, 0.951, similar
8, 16, 821.6994351, 2517327.8193573724, 0.662, NS
1, 34, 1203.995444, 2131964.9115582374, 0.669, NS
17, 3, 1106.865985, 6207817.705101667, 0.296, NS
6, 21, 809.7034406, 3770064.761631589, 0.508, NS
19, 4, 1021.039011, 1427495.9098861516, 0.998, similar
9, 15, 852.9256148, 2858420.9808801906, 0.712, NS
12, 36, 1297.784958, 3454785.616828624, 0.44, NS
19, 11, 955.1516429, 1854069.701106331, 1.0, similar
29, 35, 1131.957011, 710998.8796556741, 0.999, similar
21, 1, 840.6672835, 2785094.074999955, 0.752, NS
32, 19, 1051.140303, 1517661.8731728937, 0.998, similar
35, 35, 952.9103368, 1046741.901402513, 0.943, NS
23, 8, 1056.421092, 1054703.0628409835, 0.996, similar
20, 11, 1214.280689, 6854966.95394431, 0.243, NS
12, 22, 1020.055444, 1631858.7617011948, 1.0, similar
9, 22, 906.8931224, 1612586.5648701743, 1.0, similar
15, 19, 1085.108398, 1961722.4543082213, 0.967, similar
11, 14, 847.9829771, 4241692.283800992, 0.666, NS
26, 17, 1242.549797, 7215301.685988636, 0.222, NS
20, 35, 976.6659522, 987157.5718263083, 0.996, similar
29, 19, 948.9864335, 1166947.1191599392, 0.985, similar
12, 11, 933.8535432, 2471617.0113592283, 0.986, similar
15, 31, 1029.564553, 2274493.096808058, 1.0, similar
5, 36, 822.5908708, 929778.9811578077, 0.863, NS
35, 29, 1106.497813, 1405386.7582617544, 0.967, similar
4, 22, 865.6555879, 2406818.7215929334, 0.675, NS
21, 29, 1075.125273, 3592996.53172028, 0.53, NS
5, 31, 603.0576946, 5381088.625003838, 0.246, NS
32, 34, 1243.11971, 1686753.89600974, 0.987, similar
30, 4, 960.9093225, 1258643.6319827556, 0.999, similar
35, 24, 925.0362489, 518897.29501149344, 0.99, similar
34, 16, 696.6500747, 5657560.629152664, 0.491, NS
15, 6, 1139.452617, 3700570.116793004, 0.489, NS
35, 15, 851.6513388, 1571838.2292234553, 0.74, NS
12, 27, 1064.465439, 2321319.666006432, 0.997, similar
28, 23, 1062.277975, 687107.4532407122, 1.0, similar
6, 37, 904.7510398, 3853907.937914488, 0.744, NS
30, 28, 845.0672828, 3588062.681057211, 0.827, NS
12, 19, 894.2677293, 1219443.8158790981, 1.0, similar
14, 33, 447.3292476, 10359092.627403192, 0.038, dissimilar
31, 8, 802.5048604, 2441223.7100007045, 0.599, NS
37, 17, 1035.30397, 869803.9313648368, 1.0, similar
23, 7, 1165.843355, 3093115.1536443266, 0.65, NS
34, 22, 1444.066894, 17328929.356426697, 0.018, dissimilar
13, 4, 1001.124587, 1363169.995549843, 1.0, similar
10, 4, 997.68142, 1129490.467596265, 1.0, similar
37, 22, 1007.494471, 1116871.7487211346, 0.991, similar
12, 9, 1300.135709, 6023438.308332678, 0.426, NS
25, 26, 980.3618232, 1227772.6869432898, 0.97, similar
33, 25, 1150.247482, 1058504.4442053083, 0.948, NS
31, 5, 1150.709524, 1048614.6923847774, 0.927, NS
34, 27, 1298.973862, 9984476.285212575, 0.24, NS
1, 12, 608.8993937, 5829572.716792589, 0.318, NS
3, 7, 1067.988302, 1864282.8188010966, 0.976, similar
7, 16, 1288.473102, 7546070.471013472, 0.327, NS
19, 17, 894.8446313, 2844138.748576628, 0.972, similar
13, 36, 1127.220453, 2362442.0616027103, 0.721, NS
36, 15, 607.0596702, 4491448.846489051, 0.417, NS
2, 36, 778.4137274, 1332804.2294215756, 0.655, NS
5, 11, 1260.793951, 3987213.2069022874, 0.385, NS
5, 26, 1022.958387, 943515.0297574234, 0.967, similar
4, 26, 766.5735146, 1756653.162357409, 0.598, NS
1, 6, 930.2858858, 2503196.0967779877, 0.559, NS
22, 9, 800.0478334, 3803246.442401442, 0.5, NS
8, 3, 987.7484923, 2387638.473895146, 0.441, NS
28, 32, 826.6948413, 4226466.962898176, 0.672, NS
11, 24, 829.292674, 2748263.972839624, 0.577, NS
36, 17, 718.7864001, 4017054.92516538, 0.735, NS
21, 12, 735.8023907, 2926014.7624713196, 0.684, NS
33, 37, 953.9456308, 2549704.8248000243, 0.833, NS
32, 22, 932.8545814, 3407239.1397818234, 0.884, NS
5, 14, 1261.495109, 2325955.1879886338, 0.692, NS
21, 25, 1040.665952, 614942.513839617, 0.994, similar
12, 21, 1153.511126, 1958510.8752652993, 0.966, similar
37, 27, 1152.185937, 1285362.7939014805, 0.991, similar
8, 4, 796.0553281, 1276448.1827208982, 0.866, NS
33, 17, 992.4051319, 1376491.4405629828, 0.999, similar
29, 25, 749.6140073, 1182931.5835490252, 0.914, NS
26, 33, 792.5458215, 3106594.1923774662, 0.446, NS
16, 16, 1004.933735, 1489216.4366228478, 0.999, similar
31, 34, 1159.101988, 2253934.0889439983, 0.634, NS
30, 19, 825.4739723, 2200067.8014193256, 0.914, NS
9, 19, 972.5387347, 1118918.3396733361, 1.0, similar
5, 25, 1133.356619, 925699.6514667945, 0.871, NS
26, 5, 1128.246533, 772283.7956707433, 0.986, similar
17, 7, 1060.250842, 2624407.7911951356, 0.989, similar
9, 26, 936.0004269, 1269788.8824882363, 0.998, similar
31, 33, 1195.368113, 1426331.5549547637, 0.942, NS
10, 31, 1024.286403, 1753975.2351168636, 1.0, similar
36, 18, 1305.479931, 13877631.41442336, 0.047, dissimilar
8, 5, 960.9368103, 456996.33067386464, 0.997, similar
24, 5, 755.7016729, 2999444.8795005623, 0.52, NS
34, 35, 1085.459377, 1574751.9882828346, 0.99, similar
25, 31, 825.0555747, 1814898.006106637, 0.982, similar
31, 10, 876.2311175, 2749272.9692978654, 0.746, NS
5, 22, 1003.01531, 1476836.9701929933, 0.974, similar
23, 23, 845.1598566, 1101157.1058792488, 0.929, NS
12, 10, 870.1620213, 3864022.4583941135, 0.764, NS
33, 1, 1011.748351, 1701325.9626143838, 0.995, similar
20, 3, 983.8466531, 2835826.082659153, 0.482, NS
2, 23, 1250.40571, 1887136.42169538, 0.464, NS
9, 34, 732.0771565, 4132213.389638304, 0.497, NS
25, 28, 765.941417, 3009234.883059905, 0.654, NS
25, 17, 1147.234649, 2332250.3967847694, 0.888, NS
21, 5, 1297.702802, 3255213.9163060985, 0.325, NS
15, 13, 979.4889908, 3844622.5888781, 0.758, NS
31, 17, 964.5276955, 1794330.038520382, 0.989, similar
21, 18, 1422.061465, 16976303.72043873, 0.004, dissimilar
33, 8, 860.1308593, 2236933.167253178, 0.624, NS
3, 6, 1179.878649, 5710349.712320615, 0.175, NS
25, 19, 811.1030303, 2376368.951038309, 0.577, NS
32, 5, 840.6053529, 2277765.0617084326, 0.708, NS
27, 13, 1120.477222, 4151780.5211002016, 0.673, NS
35, 10, 1296.093818, 2936355.343580207, 0.53, NS
35, 16, 1256.216556, 2578468.087773749, 0.589, NS
2, 27, 956.2329269, 742310.6525468533, 1.0, similar
27, 4, 592.460227, 6134811.852642393, 0.285, NS
12, 25, 1086.92166, 947450.9404723276, 1.0, similar
32, 32, 1037.307773, 2110802.609492769, 1.0, similar
35, 5, 1365.921756, 2187341.6175697083, 0.374, NS
2, 16, 1316.026406, 3982618.99960179, 0.398, NS
29, 27, 861.8442603, 2062306.814341128, 0.962, similar
7, 22, 1066.577683, 3666889.5388222896, 0.795, NS
4, 12, 1007.853021, 2807228.751064292, 0.573, NS
26, 10, 1183.698603, 7698127.02127697, 0.188, NS
22, 10, 308.0151238, 15706141.490783555, 0.006, dissimilar
18, 23, 1043.609912, 1666024.8075891454, 0.93, NS
2, 26, 850.7825993, 1108785.666036373, 0.939, NS
26, 18, 950.424581, 4353214.717319138, 0.432, NS
14, 32, 1053.234641, 2506509.3760925047, 0.995, similar
20, 28, 817.0812624, 3214781.664790264, 0.602, NS
26, 26, 987.0768045, 746187.624610644, 1.0, similar
16, 4, 1172.715324, 2418782.8612619643, 0.568, NS
27, 2, 1406.401825, 12480925.766462518, 0.095, NS
37, 8, 882.7699092, 1735258.7438985708, 0.647, NS
22, 11, 745.6842997, 2667313.057791157, 0.789, NS
37, 32, 915.6210051, 907729.8674566696, 1.0, similar
24, 7, 1276.039536, 6867150.904348181, 0.368, NS
36, 12, 1090.920705, 3210169.2728987, 0.916, NS
26, 34, 1080.623513, 662687.0982780724, 1.0, similar
15, 23, 1057.27013, 1310126.8364992468, 0.984, similar
9, 4, 838.8662134, 2188207.2651747884, 0.905, NS
23, 28, 1022.899351, 1539605.8278052327, 0.996, similar
15, 21, 982.4867162, 2550972.4445297876, 0.82, NS
9, 36, 732.1972054, 3612841.9157875804, 0.396, NS
36, 3, 1421.169808, 11011472.509256138, 0.03, dissimilar
