Global BiFI value is: 621130650.0337
O, D, V1, V2, BI, p-value, BI_Result
(13, 14), 496.2005079, 506.0399369, 248460.7437, 0.480, NS
(1, 8), 499.4071503, 494.2861182, 253834.9890, 0.300, NS
(28, 21), 495.5140277, 501.937341, 250087.0667, 0.360, NS
(20, 14), 496.9702656, 504.7907331, 248644.6513, 0.500, NS
(13, 15), 500.9570422, 504.4992109, 250393.4011, 0.510, NS
(20, 29), 503.0793019, 501.2497433, 257300.0129, 0.260, NS
(28, 15), 501.9450432, 507.8538922, 244678.5691, 0.770, NS
(3, 15), 501.1309213, 497.6217138, 250590.7766, 0.530, NS
(32, 30), 504.2956249, 509.3678191, 245045.4963, 0.780, NS
(1, 18), 498.4995697, 502.2535075, 249754.1897, 0.540, NS
(32, 10), 493.6895257, 495.4836586, 242035.7881, 0.690, NS
(32, 18), 503.1908551, 501.7066316, 257576.8880, 0.110, NS
(29, 8), 497.4363044, 498.7286127, 252621.1900, 0.260, NS
(17, 24), 491.7906429, 500.4185661, 245687.5726, 0.520, NS
(14, 14), 504.1939116, 499.2945891, 252057.1560, 0.470, NS
(4, 17), 500.1531871, 504.3448592, 249639.8857, 0.550, NS
(28, 17), 494.923258, 503.1431287, 245593.7361, 0.570, NS
(8, 18), 498.1984773, 499.6342429, 249466.8915, 0.460, NS
(10, 17), 498.3963235, 496.4720952, 245990.0027, 0.670, NS
(1, 37), 498.3083324, 502.2317396, 249921.7648, 0.420, NS
(10, 20), 499.2534264, 494.4383128, 249699.8293, 0.520, NS
(7, 17), 505.9968753, 501.6852478, 248299.1221, 0.740, NS
(34, 29), 496.1309104, 506.8286068, 256442.8586, 0.080, NS
(8, 20), 500.5842958, 495.3995971, 249889.3096, 0.540, NS
(28, 29), 491.1785335, 504.7844898, 244714.4416, 0.500, NS
(10, 14), 506.8010859, 502.46639, 253428.7729, 0.530, NS
(1, 9), 501.3194192, 499.3579967, 250041.7650, 0.550, NS
(18, 20), 494.363416, 495.2542613, 243169.2696, 0.690, NS
(18, 9), 498.6753871, 507.8926246, 250580.4466, 0.430, NS
(7, 29), 505.2939934, 499.6043453, 255967.2290, 0.350, NS
(13, 13), 495.1683751, 500.1045205, 246908.8276, 0.540, NS
(8, 24), 493.1673826, 506.175268, 247154.6808, 0.500, NS
(14, 10), 501.6873117, 501.3484855, 251240.7825, 0.520, NS
(30, 29), 489.3857077, 491.5147056, 242021.6188, 0.680, NS
(20, 15), 495.7526741, 495.9762897, 248815.8065, 0.470, NS
(18, 8), 510.9089161, 499.9282844, 258382.0939, 0.320, NS
(17, 14), 496.8266057, 497.3267975, 248574.3628, 0.560, NS
(17, 2), 496.5575277, 496.679474, 246821.6984, 0.580, NS
(8, 17), 497.1102826, 494.1350248, 241902.1493, 0.750, NS
(3, 29), 489.7173312, 504.3178963, 243676.4872, 0.630, NS
(10, 18), 493.951333, 494.9152039, 247282.0507, 0.530, NS
(8, 37), 503.7991679, 491.7305972, 251950.4751, 0.490, NS
(13, 21), 507.7113494, 496.2233951, 256411.2954, 0.330, NS
(10, 21), 501.8529336, 505.3362712, 248869.4877, 0.620, NS
(18, 14), 506.9007251, 496.9825548, 255088.5677, 0.350, NS
(28, 20), 493.6421904, 506.3817725, 240874.5783, 0.790, NS
(17, 18), 506.7685321, 494.0508183, 253380.6446, 0.460, NS
(7, 30), 505.0482497, 495.0811206, 244504.9402, 0.880, NS
(8, 29), 498.5534778, 498.0380116, 244947.0328, 0.770, NS
(34, 1), 504.118781, 501.9865443, 259849.9364, 0.050, NS
(34, 13), 499.8224022, 506.4848559, 260844.7685, 0.030, LL
(3, 20), 496.7095934, 497.7052594, 247965.1710, 0.540, NS
(29, 24), 492.4042097, 505.0408659, 250645.8684, 0.360, NS
(13, 17), 495.025505, 501.6174949, 241656.2736, 0.760, NS
(10, 37), 496.6721585, 509.5759384, 248491.1875, 0.410, NS
(8, 8), 487.6214387, 493.7118081, 245383.4951, 0.400, NS
(30, 1), 504.3947677, 508.939918, 252337.8095, 0.380, NS
(29, 9), 502.9043184, 501.1981471, 256309.5495, 0.220, NS
(32, 13), 496.8759097, 506.5588455, 247927.4630, 0.520, NS
(34, 20), 499.5898923, 503.7805483, 240907.1640, 0.870, NS
(8, 1), 498.7617128, 500.6508135, 249302.3724, 0.460, NS
(14, 2), 498.330729, 504.8874513, 245742.2899, 0.700, NS
(28, 24), 503.4934272, 500.2441643, 255523.2057, 0.340, NS
(17, 8), 502.8125963, 498.9720909, 254568.1681, 0.340, NS
(3, 8), 499.2605834, 498.1201267, 250387.6314, 0.480, NS
(4, 18), 494.1858899, 496.7519604, 246833.5427, 0.500, NS
(30, 15), 506.9141469, 506.918829, 252851.2916, 0.550, NS
(32, 15), 502.298308, 501.5958606, 246441.1593, 0.710, NS
(4, 24), 502.4423075, 492.3595175, 250525.8575, 0.460, NS
(20, 1), 502.706761, 498.5324297, 253685.7996, 0.400, NS
(34, 24), 503.4623911, 496.0663734, 250964.1536, 0.510, NS
(1, 15), 500.5102384, 497.4933042, 250504.1771, 0.440, NS
(3, 2), 492.0403689, 498.1097745, 244572.0371, 0.470, NS
(29, 15), 500.2317486, 485.442812, 248411.7548, 0.610, NS
(17, 9), 504.306209, 504.621437, 254968.4509, 0.370, NS
(1, 1), 504.1475456, 505.2044509, 252776.9551, 0.460, NS
(34, 18), 505.4443478, 502.836751, 252700.9646, 0.500, NS
(20, 37), 500.5384099, 504.7525959, 254487.2808, 0.260, NS
(18, 21), 494.2154585, 509.9682846, 242402.0706, 0.770, NS
(3, 13), 507.4788077, 501.9747882, 253708.0373, 0.480, NS
(28, 1), 509.622233, 499.6531155, 250585.1868, 0.670, NS
(20, 18), 496.8343186, 501.5746398, 249798.9329, 0.340, NS
(32, 2), 504.7380863, 499.9703498, 253759.6980, 0.410, NS
(14, 8), 490.3725328, 492.8717829, 251665.9781, 0.180, NS
(4, 9), 502.1441805, 491.2370882, 250208.4697, 0.600, NS
(14, 9), 495.3301652, 498.5031394, 256175.5691, 0.080, NS
(18, 2), 500.3402847, 505.3015437, 253135.9766, 0.300, NS
(8, 30), 502.2907679, 499.510692, 249984.9840, 0.530, NS
(3, 21), 493.7909246, 504.2286538, 251420.1472, 0.280, NS
(28, 14), 500.7732506, 494.5643524, 246930.6131, 0.760, NS
(34, 21), 511.7099902, 502.550032, 252638.6327, 0.640, NS
(32, 17), 499.339625, 495.8064645, 245912.6087, 0.660, NS
(4, 30), 497.1817362, 504.0657696, 248363.1357, 0.510, NS
(18, 24), 500.5272598, 511.1709001, 250620.8039, 0.430, NS
(32, 8), 506.5768103, 493.8696277, 252388.9100, 0.550, NS
(4, 13), 499.6950396, 496.4992394, 250775.5630, 0.500, NS
(1, 20), 491.6893274, 497.6026938, 245994.0664, 0.540, NS
(10, 29), 503.6369313, 503.0328905, 246951.8962, 0.730, NS
(14, 30), 495.5412767, 504.9962759, 247852.1882, 0.550, NS
(20, 8), 507.4745973, 502.4671475, 258141.7526, 0.280, NS
(4, 29), 491.5256788, 492.9346752, 247954.7035, 0.450, NS
(10, 2), 495.9437496, 500.1080037, 243445.1325, 0.770, NS
(34, 30), 509.7865642, 506.1477892, 252064.7780, 0.680, NS
(4, 21), 501.1355956, 491.1696965, 257198.7422, 0.220, NS
(32, 14), 496.9342449, 504.1355289, 244990.6539, 0.750, NS
(30, 21), 495.6533941, 507.55322, 248646.4418, 0.380, NS
(18, 30), 504.6888585, 502.7644379, 249303.3637, 0.640, NS
(1, 21), 500.4492139, 500.1733308, 253880.2458, 0.310, NS
(3, 17), 508.3830153, 504.5851836, 250233.4360, 0.600, NS
(34, 9), 502.1871909, 498.2159367, 256889.8847, 0.240, NS
(34, 15), 500.0769136, 494.3076461, 244340.0864, 0.820, NS
(29, 13), 506.6050044, 503.7452168, 255762.6931, 0.380, NS
(7, 14), 498.6535288, 503.2490608, 237799.0281, 0.970, NS
(30, 2), 497.2990134, 498.1710456, 244599.2320, 0.700, NS
(10, 15), 496.0454152, 497.4256372, 247897.3679, 0.500, NS
(20, 30), 486.6404924, 501.0389284, 235016.2325, 0.830, NS
(8, 14), 490.8562523, 503.7188939, 245097.5350, 0.480, NS
(3, 37), 517.2709242, 508.4195738, 259155.0894, 0.460, NS
(17, 29), 491.3073555, 497.2977097, 248234.6919, 0.350, NS
(34, 8), 504.7887512, 501.8876696, 251191.0585, 0.580, NS
(14, 13), 496.1991287, 490.3446945, 248597.6497, 0.490, NS
(18, 15), 501.0165807, 508.221494, 248628.4741, 0.620, NS
(20, 10), 500.9962697, 495.4945895, 247324.4138, 0.660, NS
(14, 29), 496.6776632, 501.2311065, 252061.4704, 0.230, NS
(29, 21), 491.5453445, 499.8251898, 248620.6954, 0.390, NS
(18, 18), 504.0175409, 501.1194178, 251694.4864, 0.470, NS
(14, 24), 493.9669387, 498.7641728, 247744.3397, 0.440, NS
(7, 37), 506.6833538, 500.995829, 245110.0596, 0.870, NS
(13, 8), 509.9404403, 499.690525, 258616.4000, 0.290, NS
(34, 37), 506.7201657, 500.21343, 258446.0729, 0.250, NS
(30, 17), 493.866123, 499.021002, 239896.9866, 0.830, NS
(3, 14), 503.7830118, 506.7662378, 252291.9207, 0.480, NS
(20, 17), 494.5974208, 491.780424, 256262.4337, 0.140, NS
(29, 20), 498.3163484, 499.4235985, 246976.4039, 0.610, NS
(28, 2), 494.2398608, 507.6667535, 248083.4073, 0.450, NS
(18, 1), 494.7058948, 494.0693403, 251587.5250, 0.270, NS
(14, 21), 499.2171387, 506.115152, 245830.9728, 0.660, NS
(28, 8), 502.8304272, 498.2329569, 252024.6804, 0.450, NS
(8, 13), 499.2848907, 505.1479657, 247435.1039, 0.610, NS
(10, 30), 500.2356392, 497.8600003, 249400.8629, 0.570, NS
(30, 8), 497.4096151, 486.3330849, 249793.1095, 0.380, NS
(13, 30), 502.7177385, 493.8244481, 250802.9860, 0.530, NS
(30, 9), 502.6271817, 503.4903933, 250591.4533, 0.510, NS
(34, 2), 504.1738739, 491.1809362, 259360.0606, 0.140, NS
(28, 9), 494.8406737, 498.2108431, 252377.3085, 0.180, NS
(3, 10), 509.9599975, 504.1196095, 255099.7962, 0.500, NS
(7, 8), 499.8906585, 496.2203726, 247073.0903, 0.730, NS
(30, 37), 494.5336682, 498.792982, 247353.2712, 0.380, NS
(30, 18), 496.7614518, 502.9798491, 248735.5173, 0.510, NS
(29, 29), 500.0615471, 508.146965, 254036.5409, 0.290, NS
(34, 10), 499.9030271, 496.5261521, 250343.7696, 0.530, NS
(13, 10), 493.0906869, 507.1810255, 246672.7273, 0.450, NS
(7, 1), 504.1717093, 502.3580583, 243486.6550, 0.890, NS
(8, 10), 495.6800137, 510.4999408, 246631.8358, 0.580, NS
(1, 29), 506.8429684, 505.57447, 249021.1218, 0.780, NS
(4, 20), 501.3635532, 487.0843518, 250451.2233, 0.590, NS
(7, 24), 502.0931619, 496.4451154, 252938.8945, 0.380, NS
(20, 2), 499.1232532, 494.7227306, 251669.1083, 0.420, NS
(4, 15), 502.3733742, 501.2853518, 251304.1286, 0.550, NS
(32, 29), 498.1004241, 501.5806669, 247152.8169, 0.620, NS
(3, 24), 501.1403465, 502.6209715, 249816.4653, 0.500, NS
(1, 14), 501.5182548, 494.6962265, 251562.7807, 0.470, NS
(8, 2), 505.2550071, 505.5078316, 251254.7956, 0.570, NS
(32, 20), 496.121361, 503.331251, 249694.6720, 0.380, NS
(1, 17), 499.8659633, 503.4512497, 243854.4849, 0.740, NS
(30, 14), 500.2648766, 497.8033215, 250045.7572, 0.410, NS
(28, 37), 496.3693771, 507.6714542, 244650.1416, 0.620, NS
(20, 9), 498.1734489, 502.1194514, 250367.0482, 0.460, NS
(7, 18), 499.5848303, 487.4783679, 246082.2570, 0.690, NS
(30, 10), 496.101454, 494.3581947, 247526.3442, 0.500, NS
(13, 9), 495.14047, 499.8801723, 249324.4569, 0.420, NS
(20, 24), 505.4864105, 499.4183141, 254128.0383, 0.360, NS
(18, 10), 504.6714646, 503.2122301, 251454.9807, 0.580, NS
(4, 8), 496.4520072, 496.0528866, 247674.6330, 0.520, NS
(4, 1), 495.8182441, 502.9405998, 248488.4604, 0.500, NS
(17, 17), 499.6538976, 498.6601756, 251586.9344, 0.430, NS
(1, 13), 500.4768851, 497.5265121, 250453.2605, 0.480, NS
(1, 2), 499.6066358, 498.3889043, 246005.5761, 0.680, NS
(13, 2), 498.2459314, 497.0744875, 245244.5221, 0.700, NS
(13, 18), 496.1502091, 497.8730939, 248398.8232, 0.520, NS
(13, 37), 494.6069268, 496.9795847, 247918.8095, 0.450, NS
(10, 13), 496.0442723, 502.9716209, 245353.8710, 0.610, NS
(29, 2), 494.0285693, 504.1361481, 252905.0726, 0.230, NS
(10, 24), 498.1610462, 510.6485334, 249122.2627, 0.610, NS
(29, 17), 500.9087444, 489.7497635, 253682.5982, 0.320, NS
(29, 30), 501.8768491, 500.9056783, 252280.1344, 0.390, NS
(3, 1), 495.4525457, 507.5886027, 248200.4750, 0.430, NS
(17, 30), 501.367814, 499.5862367, 250828.5257, 0.490, NS
(17, 20), 487.1914431, 507.637531, 243605.6629, 0.540, NS
(10, 8), 503.9201727, 499.1324755, 256438.9286, 0.240, NS
(18, 37), 506.6551745, 498.1851769, 259297.9360, 0.190, NS
(10, 1), 513.0866272, 496.5846617, 256877.4209, 0.390, NS
(28, 30), 507.6472, 502.9809647, 249018.5875, 0.700, NS
(30, 13), 501.3224167, 505.7121878, 247919.1482, 0.660, NS
(29, 10), 505.6343187, 494.809369, 254698.1245, 0.390, NS
(18, 13), 500.8569909, 493.7960453, 259647.5097, 0.070, NS
(14, 17), 501.2988941, 500.5642535, 246454.7979, 0.780, NS
(1, 24), 494.1248724, 500.3874889, 247068.4511, 0.480, NS
(8, 15), 496.638484, 501.8238732, 247469.1735, 0.550, NS
(14, 1), 497.2077898, 493.8734634, 248463.3024, 0.480, NS
(34, 17), 495.9817757, 497.1491672, 252012.9984, 0.250, NS
(4, 14), 492.6902274, 504.0028772, 246527.5075, 0.570, NS
(18, 17), 499.7509256, 496.1723346, 257265.2271, 0.130, NS
(14, 15), 497.7429344, 496.8670955, 249107.2519, 0.450, NS
(28, 18), 499.1117125, 502.8628198, 249030.0203, 0.520, NS
(1, 30), 494.9390404, 492.5424115, 247184.5625, 0.520, NS
(30, 24), 492.366455, 495.0425234, 246573.4212, 0.500, NS
(30, 30), 504.4995663, 499.4640392, 251394.0192, 0.490, NS
(17, 21), 506.1223702, 509.0999985, 251742.6674, 0.520, NS
(13, 1), 493.2936669, 506.5107151, 247045.0515, 0.460, NS
(1, 10), 497.4561568, 506.2077822, 248689.4121, 0.540, NS
(7, 15), 499.168716, 491.3533802, 238363.5676, 0.920, NS
(17, 10), 499.665335, 496.6688591, 250240.5324, 0.540, NS
(7, 13), 500.1311622, 501.6883618, 247384.5519, 0.600, NS
(17, 15), 502.1869488, 501.6327942, 251345.1945, 0.540, NS
(20, 13), 500.8953649, 513.0166285, 256374.0885, 0.290, NS
(14, 20), 502.2665813, 496.2785091, 251484.2772, 0.490, NS
(34, 26), 1076.605089, 741.6517845, 554421.3080, 0.150, NS
(30, 33), 1171.023452, 628.2517507, 594130.8588, 0.290, NS
(30, 34), 1163.190491, 476.0886894, 595016.2939, 0.270, NS
(25, 14), 1234.94506, 459.9060135, 592417.2457, 0.920, NS
(1, 25), 1146.087541, 511.0024066, 585904.5019, 0.190, NS
(2, 4), 797.9665666, 557.1698577, 377882.1359, 0.890, NS
(22, 35), 876.0076479, 433.572063, 435298.3039, 0.600, NS
(12, 29), 1078.112573, 463.3498607, 540133.0173, 0.520, NS
(30, 5), 887.1731505, 485.6775731, 443817.5582, 0.520, NS
(25, 9), 774.1235597, 474.8919394, 370690.1244, 0.940, NS
(30, 22), 1126.077523, 528.0633408, 566265.3822, 0.330, NS
(29, 33), 1359.041133, 445.8425313, 699483.3831, 0.160, NS
(3, 33), 925.5576207, 353.3424009, 473320.9386, 0.330, NS
(4, 33), 1049.278831, 582.6865024, 524583.5804, 0.540, NS
(32, 6), 767.0553331, 558.4497568, 395053.2405, 0.190, NS
(36, 8), 934.2228389, 633.7200479, 478054.2475, 0.230, NS
(14, 6), 1165.17425, 482.3983931, 614036.6739, 0.040, HH
(37, 25), 1199.015973, 458.1546119, 585372.8623, 0.750, NS
(4, 32), 1157.702772, 570.3126175, 560160.5420, 0.880, NS
(35, 30), 1077.147147, 500.4558471, 545027.2347, 0.500, NS
(11, 18), 794.2234918, 506.6714577, 395913.5785, 0.490, NS
(18, 12), 1285.733786, 595.7420077, 662705.7404, 0.100, NS
(17, 32), 1071.499816, 321.6300716, 524461.2768, 0.910, NS
(5, 20), 1013.592702, 522.5738838, 483797.4568, 0.860, NS
(16, 9), 1172.683425, 627.5055574, 593904.0573, 0.430, NS
(22, 36), 1176.248076, 598.8348121, 579049.3667, 0.720, NS
(16, 12), 1149.764755, 430.5372276, 566962.4182, 0.700, NS
(9, 33), 822.3561855, 384.7797117, 384865.8209, 1.000, NS
(23, 20), 1102.906806, 662.5685555, 526303.9143, 0.900, NS
(28, 4), 1076.685933, 476.9795996, 532689.4518, 0.600, NS
(22, 7), 1124.624668, 487.6979332, 578032.4150, 0.210, NS
(16, 2), 1182.501069, 430.1899578, 563848.8677, 0.970, NS
(2, 33), 1156.285638, 272.4820137, 561462.0012, 0.810, NS
(12, 8), 986.3183258, 651.8235783, 486587.4339, 0.720, NS
(23, 31), 996.0934382, 641.4110922, 508688.4720, 0.270, NS
(27, 17), 932.024201, 418.0839319, 473416.7870, 0.220, NS
(15, 35), 1086.465317, 676.083976, 563025.2917, 0.130, NS
(35, 22), 1080.169936, 449.5419085, 497734.2407, 1.000, NS
(3, 32), 1104.553884, 653.5229502, 549176.0623, 0.620, NS
(27, 35), 1164.383181, 530.391435, 630014.1036, 0.000, NS
(9, 17), 859.6591264, 530.5261424, 413703.0935, 0.930, NS
(26, 4), 1100.501257, 377.3046187, 583434.0682, 0.020, HH
(17, 27), 1082.974361, 610.0890698, 540466.2472, 0.520, NS
(4, 28), 584.4212667, 375.7261281, 295149.1859, 0.420, NS
(8, 26), 937.0536969, 528.2077498, 458754.5541, 0.700, NS
(19, 20), 1259.939835, 365.8942524, 625494.7239, 0.540, NS
(2, 2), 725.762395, 449.1169752, 351174.9911, 0.840, NS
(19, 32), 1405.248814, 485.5707747, 688256.1495, 0.770, NS
(16, 8), 1069.052001, 449.6083989, 537335.7525, 0.500, NS
(19, 8), 1002.530685, 437.5414277, 500320.2481, 0.600, NS
(27, 30), 1064.760401, 584.5163149, 512921.5236, 0.900, NS
(23, 18), 1237.49804, 374.4259113, 601039.2825, 0.790, NS
(34, 28), 1207.057143, 594.4902436, 624372.2069, 0.100, NS
(27, 10), 481.6758641, 529.3780337, 226752.1031, 0.980, NS
(26, 11), 903.3232965, 496.7713328, 441448.6451, 0.770, NS
(11, 5), 1011.817327, 687.0201257, 561009.8965, 0.000, NS
(13, 35), 1378.860296, 428.589707, 716125.4152, 0.120, NS
(9, 21), 1122.824408, 460.3851482, 569264.6207, 0.260, NS
(23, 25), 774.7339878, 498.5708093, 376324.5182, 0.760, NS
(32, 36), 1056.451, 436.1204381, 528028.4760, 0.470, NS
(14, 4), 948.0707723, 553.7705887, 493168.0084, 0.060, NS
(9, 10), 944.6584668, 507.2651814, 468714.4804, 0.620, NS
(28, 26), 781.6817579, 558.0326663, 386257.4755, 0.640, NS
(10, 36), 937.4327343, 449.7791276, 468873.0287, 0.530, NS
(34, 4), 1319.96866, 368.3682357, 692145.0274, 0.040, HH
(14, 25), 804.9945072, 544.520445, 439492.6303, 0.000, NS
(15, 24), 1250.188262, 349.0824023, 634719.0116, 0.250, NS
(37, 31), 968.9715507, 386.688045, 471369.6223, 0.860, NS
(23, 14), 882.3077828, 441.7860625, 438927.9260, 0.600, NS
(26, 16), 1511.495654, 515.0942385, 751391.9602, 0.610, NS
(21, 22), 1106.779885, 480.1730433, 549477.6944, 0.570, NS
(9, 7), 1242.84611, 520.4003716, 609555.2253, 0.780, NS
(23, 35), 1094.683449, 456.2811952, 555539.1959, 0.300, NS
(8, 16), 821.6994351, 552.0556652, 397649.1698, 0.770, NS
(1, 34), 1203.995444, 462.2912978, 603210.4196, 0.570, NS
(17, 3), 1106.865985, 456.0418212, 556098.2096, 0.370, NS
(6, 21), 809.7034406, 521.2651149, 394280.3735, 0.780, NS
(19, 4), 1021.039011, 501.0100947, 516555.4800, 0.390, NS
(9, 15), 852.9256148, 327.3297457, 428633.8398, 0.400, NS
(12, 36), 1297.784958, 488.453871, 603689.1267, 0.960, NS
(19, 11), 955.1516429, 626.1854543, 479379.6121, 0.480, NS
(29, 35), 1131.957011, 450.8275452, 550003.4299, 0.840, NS
(21, 1), 840.6672835, 531.8736566, 430256.5744, 0.200, NS
(32, 19), 1051.140303, 381.635458, 508819.4385, 0.940, NS
(35, 35), 952.9103368, 311.531456, 460440.2495, 0.830, NS
(23, 8), 1056.421092, 487.0337511, 535119.2385, 0.330, NS
(20, 11), 1214.280689, 666.210961, 620650.8450, 0.170, NS
(12, 22), 1020.055444, 346.5574397, 496291.7331, 0.850, NS
(9, 22), 906.8931224, 579.6593114, 436061.7995, 0.920, NS
(15, 19), 1085.108398, 572.4237593, 494887.1252, 1.000, NS
(11, 14), 847.9829771, 373.302468, 408382.4784, 0.930, NS
(26, 17), 1242.549797, 569.0447592, 606567.8461, 0.770, NS
(20, 35), 976.6659522, 485.3619651, 470641.7834, 0.850, NS
(29, 19), 948.9864335, 438.888464, 490987.5138, 0.170, NS
(12, 11), 933.8535432, 426.4763346, 462296.0783, 0.670, NS
(15, 31), 1029.564553, 348.4606079, 523249.1215, 0.260, NS
(5, 36), 822.5908708, 675.5181982, 427261.9778, 0.180, NS
(35, 29), 1106.497813, 463.4704187, 551341.7489, 0.580, NS
(4, 22), 865.6555879, 622.3357876, 453026.4811, 0.120, NS
(21, 29), 1075.125273, 547.8983497, 551514.3559, 0.210, NS
(5, 31), 603.0576946, 470.7589172, 296706.2307, 0.760, NS
(32, 34), 1243.11971, 653.4956395, 670384.3522, 0.020, HH
(30, 4), 960.9093225, 344.3605527, 480171.4107, 0.510, NS
(35, 24), 925.0362489, 360.326867, 480426.9299, 0.160, NS
(34, 16), 696.6500747, 398.7392606, 341818.2821, 0.800, NS
(15, 6), 1139.452617, 463.6174547, 572422.2820, 0.450, NS
(35, 15), 851.6513388, 459.7803095, 452399.1114, 0.030, LL
(12, 27), 1064.465439, 522.2208022, 528652.4960, 0.650, NS
(28, 23), 1062.277975, 551.1987493, 557283.2947, 0.080, NS
(6, 37), 904.7510398, 423.8597542, 440001.8290, 0.830, NS
(30, 28), 845.0672828, 358.7020571, 422998.6051, 0.480, NS
(12, 19), 894.2677293, 443.5982749, 421639.6627, 0.970, NS
(14, 33), 447.3292476, 445.7624058, 216926.0631, 0.880, NS
(31, 8), 802.5048604, 615.5682711, 414287.2417, 0.160, NS
(37, 17), 1035.30397, 571.2129077, 560783.2815, 0.000, NS
(23, 7), 1165.843355, 455.8009406, 601929.6210, 0.140, NS
(34, 22), 1444.066894, 506.1052603, 714272.8894, 0.690, NS
(13, 4), 1001.124587, 496.9423175, 502420.1515, 0.400, NS
(10, 4), 997.68142, 431.056438, 497087.5649, 0.510, NS
(37, 22), 1007.494471, 683.7703792, 515227.6749, 0.210, NS
(12, 9), 1300.135709, 542.5862925, 642681.9757, 0.740, NS
(25, 26), 980.3618232, 380.2337511, 502625.2066, 0.280, NS
(33, 25), 1150.247482, 561.1857474, 573054.3719, 0.590, NS
(31, 5), 1150.709524, 399.8363462, 549556.5964, 0.850, NS
(34, 27), 1298.973862, 492.5015734, 657110.0691, 0.340, NS
(1, 12), 608.8993937, 519.1871921, 310057.4899, 0.320, NS
(3, 7), 1067.988302, 462.7578495, 556495.2787, 0.130, NS
(7, 16), 1288.473102, 564.5744283, 636442.1120, 0.730, NS
(19, 17), 894.8446313, 624.2753986, 440020.1807, 0.740, NS
(13, 36), 1127.220453, 447.5292392, 569100.5379, 0.510, NS
(36, 15), 607.0596702, 567.2606498, 299339.5810, 0.640, NS
(2, 36), 778.4137274, 343.2871267, 377047.6252, 0.850, NS
(5, 11), 1260.793951, 418.7237397, 602179.7023, 0.920, NS
(5, 26), 1022.958387, 519.8813755, 544877.9889, 0.070, NS
(4, 26), 766.5735146, 569.6245393, 373347.7549, 0.710, NS
(1, 6), 930.2858858, 415.4777216, 470498.0539, 0.320, NS
(22, 9), 800.0478334, 412.2209504, 398691.3836, 0.600, NS
(8, 3), 987.7484923, 322.6056757, 487189.8193, 0.600, NS
(28, 32), 826.6948413, 460.0840945, 426617.7325, 0.060, NS
(11, 24), 829.292674, 684.4183515, 415467.2041, 0.400, NS
(36, 17), 718.7864001, 524.7321351, 377744.1543, 0.020, LL
(21, 12), 735.8023907, 480.1913916, 389016.6243, 0.000, NS
(33, 37), 953.9456308, 393.8229624, 476040.7686, 0.500, NS
